Subset,Group,Group Value,Patients,AUC-ROC,RMSE,TPR (%),Precision (%),TP %,Accuracy,F1 Score,TP,TPR,FP,FPR,FN,FNR
Overall,All,All,90469,0.891,0.21,100.0,6.385,100.0,0.942,0.372,1562,0.27,1054,0.012,4214,0.73
Top 1% Risk,,,904,0.537,0.474,10.301,65.819,10.301,0.658,0.794,595,1.0,309,1.0,0,0.0
Top 5% Risk,,,4523,0.614,0.49,40.582,51.824,40.582,0.594,0.63,1562,0.666,1054,0.484,782,0.334
Overall,Age,35-49 Years Old,23684,0.888,0.177,100.0,4.138,100.0,0.96,0.268,174,0.178,146,0.006,806,0.822
Top 1% Risk,Age,35-49 Years Old,236,0.502,0.508,12.653,52.542,12.653,0.525,0.689,124,1.0,112,1.0,0,0.0
Top 5% Risk,Age,35-49 Years Old,1184,0.618,0.48,47.755,39.527,47.755,0.628,0.442,174,0.372,146,0.204,294,0.628
Overall,Age,26-34 Years Old,18308,0.879,0.214,100.0,6.298,100.0,0.941,0.331,269,0.233,201,0.012,884,0.767
Top 1% Risk,Age,26-34 Years Old,183,0.532,0.486,9.887,62.295,9.887,0.623,0.768,114,1.0,69,1.0,0,0.0
Top 5% Risk,Age,26-34 Years Old,915,0.608,0.492,37.988,47.869,37.988,0.596,0.593,269,0.614,201,0.421,169,0.386
Overall,Age,18-25 Years Old,29109,0.881,0.262,100.0,10.784,100.0,0.906,0.44,1074,0.342,674,0.026,2065,0.658
Top 1% Risk,Age,18-25 Years Old,291,0.591,0.452,6.563,70.79,6.563,0.708,0.829,206,1.0,85,1.0,0,0.0
Top 5% Risk,Age,18-25 Years Old,1455,0.565,0.48,29.086,62.749,29.086,0.627,0.771,913,1.0,542,1.0,0,0.0
Overall,Age,65 or Older,8600,0.776,0.13,100.0,1.86,100.0,0.982,0.037,3,0.019,0,0.0,157,0.981
Top 1% Risk,Age,65 or Older,86,0.606,0.441,15.0,27.907,15.0,0.756,0.222,3,0.125,0,0.0,21,0.875
Top 5% Risk,Age,65 or Older,430,0.656,0.356,41.875,15.581,41.875,0.851,0.086,3,0.045,0,0.0,64,0.955
Overall,Age,50-64 Years Old,10768,0.881,0.158,100.0,3.195,100.0,0.969,0.2,42,0.122,33,0.003,302,0.878
Top 1% Risk,Age,50-64 Years Old,107,0.555,0.501,15.698,50.467,15.698,0.579,0.651,42,0.778,33,0.623,12,0.222
Top 5% Risk,Age,50-64 Years Old,538,0.645,0.457,51.453,32.9,51.453,0.688,0.333,42,0.237,33,0.091,135,0.763
