Subset,Group,Group Value,Patients,AUC-ROC,RMSE,TPR (%),Precision (%),TP %,Accuracy,F1 Score,TP,TPR,FP,FPR,FN,FNR
Overall,All,All,90469,0.88,0.212,100.0,6.385,100.0,0.941,0.323,1269,0.22,821,0.01,4507,0.78
Top 1% Risk,,,904,0.53,0.478,10.111,64.602,10.111,0.646,0.785,584,1.0,320,1.0,0,0.0
Top 5% Risk,,,4523,0.605,0.492,40.634,51.89,40.634,0.58,0.572,1269,0.541,821,0.377,1078,0.459
Overall,BMI:SPD,Obesity:No,19025,0.753,0.14,100.0,2.076,100.0,0.979,0.0,0,0.0,0,0.0,395,1.0
Top 1% Risk,BMI:SPD,Obesity:No,190,0.644,0.435,11.899,24.737,11.899,0.753,0.0,0,0.0,0,0.0,47,1.0
Top 5% Risk,BMI:SPD,Obesity:No,951,0.708,0.327,30.633,12.723,30.633,0.873,0.0,0,0.0,0,0.0,121,1.0
Overall,BMI:SPD,Overweight:No,22562,0.719,0.13,100.0,1.742,100.0,0.983,0.0,0,0.0,0,0.0,393,1.0
Top 1% Risk,BMI:SPD,Overweight:No,225,0.535,0.414,12.214,21.333,12.214,0.787,0.0,0,0.0,0,0.0,48,1.0
Top 5% Risk,BMI:SPD,Overweight:No,1128,0.669,0.292,27.99,9.752,27.99,0.902,0.0,0,0.0,0,0.0,110,1.0
Overall,BMI:SPD,Unknown:No,3562,0.759,0.143,100.0,2.19,100.0,0.978,0.0,0,0.0,0,0.0,78,1.0
Top 1% Risk,BMI:SPD,Unknown:No,35,0.668,0.53,16.667,37.143,16.667,0.629,0.0,0,0.0,0,0.0,13,1.0
Top 5% Risk,BMI:SPD,Unknown:No,178,0.729,0.349,33.333,14.607,33.333,0.854,0.0,0,0.0,0,0.0,26,1.0
Overall,BMI:SPD,Healthy:No,24575,0.73,0.139,100.0,1.937,100.0,0.981,0.0,0,0.0,0,0.0,476,1.0
Top 1% Risk,BMI:SPD,Healthy:No,245,0.637,0.406,11.134,21.633,11.134,0.784,0.0,0,0.0,0,0.0,53,1.0
Top 5% Risk,BMI:SPD,Healthy:No,1228,0.679,0.295,26.05,10.098,26.05,0.899,0.0,0,0.0,0,0.0,124,1.0
Overall,BMI:SPD,Severe Obesity:Yes,1246,0.73,0.416,100.0,27.528,100.0,0.752,0.433,118,0.344,84,0.093,225,0.656
Top 1% Risk,BMI:SPD,Severe Obesity:Yes,12,0.886,0.502,2.041,58.333,2.041,0.583,0.737,7,1.0,5,1.0,0,0.0
Top 5% Risk,BMI:SPD,Severe Obesity:Yes,62,0.501,0.479,11.662,64.516,11.662,0.645,0.784,40,1.0,22,1.0,0,0.0
Overall,BMI:SPD,Healthy:Yes,5111,0.731,0.421,100.0,28.801,100.0,0.738,0.369,391,0.266,259,0.071,1081,0.734
Top 1% Risk,BMI:SPD,Healthy:Yes,51,0.458,0.449,2.514,72.549,2.514,0.725,0.841,37,1.0,14,1.0,0,0.0
Top 5% Risk,BMI:SPD,Healthy:Yes,255,0.486,0.477,11.345,65.49,11.345,0.655,0.791,167,1.0,88,1.0,0,0.0
Overall,BMI:SPD,Obesity:Yes,3922,0.749,0.418,100.0,29.73,100.0,0.737,0.42,374,0.321,241,0.087,792,0.679
Top 1% Risk,BMI:SPD,Obesity:Yes,39,0.586,0.471,2.23,66.667,2.23,0.667,0.8,26,1.0,13,1.0,0,0.0
Top 5% Risk,BMI:SPD,Obesity:Yes,196,0.574,0.475,10.892,64.796,10.892,0.648,0.786,127,1.0,69,1.0,0,0.0
Overall,BMI:SPD,Overweight:Yes,3715,0.75,0.403,100.0,26.299,100.0,0.767,0.395,283,0.29,172,0.063,694,0.71
Top 1% Risk,BMI:SPD,Overweight:Yes,37,0.75,0.416,2.968,78.378,2.968,0.784,0.879,29,1.0,8,1.0,0,0.0
Top 5% Risk,BMI:SPD,Overweight:Yes,185,0.59,0.473,12.282,64.865,12.282,0.649,0.787,120,1.0,65,1.0,0,0.0
Overall,BMI:SPD,Underweight:No,1681,0.76,0.14,100.0,2.142,100.0,0.979,0.0,0,0.0,0,0.0,36,1.0
Top 1% Risk,BMI:SPD,Underweight:No,16,0.594,0.549,22.222,50.0,22.222,0.5,0.0,0,0.0,0,0.0,8,1.0
Top 5% Risk,BMI:SPD,Underweight:No,84,0.752,0.341,36.111,15.476,36.111,0.845,0.0,0,0.0,0,0.0,13,1.0
Overall,BMI:SPD,Severe Obesity:No,3918,0.755,0.16,100.0,2.757,100.0,0.972,0.0,0,0.0,0,0.0,108,1.0
Top 1% Risk,BMI:SPD,Severe Obesity:No,39,0.728,0.432,9.259,25.641,9.259,0.744,0.0,0,0.0,0,0.0,10,1.0
Top 5% Risk,BMI:SPD,Severe Obesity:No,195,0.639,0.351,26.852,14.872,26.852,0.851,0.0,0,0.0,0,0.0,29,1.0
Overall,BMI:SPD,Underweight:Yes,491,0.725,0.431,100.0,30.55,100.0,0.737,0.456,54,0.36,33,0.097,96,0.64
Top 1% Risk,BMI:SPD,Underweight:Yes,4,0.75,0.56,1.333,50.0,1.333,0.5,0.667,2,1.0,2,1.0,0,0.0
Top 5% Risk,BMI:SPD,Underweight:Yes,24,0.486,0.508,9.333,58.333,9.333,0.583,0.737,14,1.0,10,1.0,0,0.0
Overall,BMI:SPD,Unknown:Yes,661,0.714,0.417,100.0,27.534,100.0,0.75,0.373,49,0.269,32,0.067,133,0.731
Top 1% Risk,BMI:SPD,Unknown:Yes,6,0.4,0.381,2.747,83.333,2.747,0.833,0.909,5,1.0,1,1.0,0,0.0
Top 5% Risk,BMI:SPD,Unknown:Yes,33,0.585,0.483,10.989,60.606,10.989,0.606,0.755,20,1.0,13,1.0,0,0.0
