Subset,Group,Group Value,Patients,AUC-ROC,RMSE,TPR (%),Precision (%),TP %,Accuracy,F1 Score,TP,TPR,FP,FPR,FN,FNR
Overall,All,All,90469,0.89,0.211,100.0,6.385,100.0,0.941,0.361,1502,0.26,1037,0.012,4274,0.74
Top 1% Risk,,,904,0.551,0.481,10.024,64.049,10.024,0.64,0.781,579,1.0,325,1.0,0,0.0
Top 5% Risk,,,4523,0.608,0.491,40.374,51.559,40.374,0.587,0.617,1502,0.644,1037,0.473,830,0.356
Overall,BMI,Obesity,22947,0.895,0.215,100.0,6.803,100.0,0.938,0.376,431,0.276,299,0.014,1130,0.724
Top 1% Risk,BMI,Obesity,229,0.553,0.474,9.673,65.939,9.673,0.659,0.795,151,1.0,78,1.0,0,0.0
Top 5% Risk,BMI,Obesity,1147,0.591,0.492,39.718,54.054,39.718,0.575,0.639,431,0.695,299,0.567,189,0.305
Overall,BMI,Overweight,26277,0.886,0.193,100.0,5.214,100.0,0.952,0.356,346,0.253,226,0.009,1024,0.747
Top 1% Risk,BMI,Overweight,262,0.563,0.477,12.263,64.122,12.263,0.641,0.781,168,1.0,94,1.0,0,0.0
Top 5% Risk,BMI,Overweight,1313,0.633,0.486,45.766,47.753,45.766,0.614,0.577,346,0.552,226,0.329,281,0.448
Overall,BMI,Unknown,4223,0.882,0.21,100.0,6.157,100.0,0.944,0.324,57,0.219,35,0.009,203,0.781
Top 1% Risk,BMI,Unknown,42,0.558,0.479,10.385,64.286,10.385,0.643,0.783,27,1.0,15,1.0,0,0.0
Top 5% Risk,BMI,Unknown,211,0.624,0.489,39.615,48.815,39.615,0.616,0.585,57,0.553,35,0.324,46,0.447
Overall,BMI,Healthy,29686,0.889,0.214,100.0,6.562,100.0,0.939,0.345,473,0.243,322,0.012,1475,0.757
Top 1% Risk,BMI,Healthy,296,0.513,0.484,9.651,63.514,9.651,0.635,0.777,188,1.0,108,1.0,0,0.0
Top 5% Risk,BMI,Healthy,1484,0.599,0.493,39.579,51.954,39.579,0.582,0.604,473,0.613,322,0.452,298,0.387
Overall,BMI,Severe Obesity,5164,0.874,0.247,100.0,8.734,100.0,0.916,0.374,129,0.286,110,0.023,322,0.714
Top 1% Risk,BMI,Severe Obesity,51,0.482,0.499,7.095,62.745,7.095,0.627,0.771,32,1.0,19,1.0,0,0.0
Top 5% Risk,BMI,Severe Obesity,258,0.602,0.496,30.82,53.876,30.82,0.535,0.683,129,0.928,110,0.924,10,0.072
Overall,BMI,Underweight,2172,0.898,0.238,100.0,8.564,100.0,0.924,0.444,66,0.355,45,0.023,120,0.645
Top 1% Risk,BMI,Underweight,21,0.574,0.531,6.452,57.143,6.452,0.571,0.727,12,1.0,9,1.0,0,0.0
Top 5% Risk,BMI,Underweight,108,0.521,0.496,34.946,60.185,34.946,0.602,0.751,65,1.0,43,1.0,0,0.0
