Subset,Group,Group Value,Patients,AUC-ROC,RMSE,TPR (%),Precision (%),TP %,Accuracy,F1 Score,TP,TPR,FP,FPR,FN,FNR
Overall,All,All,90469,0.89,0.211,100.0,6.385,100.0,0.942,0.35,1425,0.247,941,0.011,4351,0.753
Top 1% Risk,,,904,0.544,0.473,10.267,65.597,10.267,0.656,0.792,593,1.0,311,1.0,0,0.0
Top 5% Risk,,,4523,0.61,0.49,40.582,51.824,40.582,0.589,0.605,1425,0.608,941,0.432,919,0.392
Overall,Health Insurance,Private plan,56491,0.89,0.198,100.0,5.514,100.0,0.949,0.319,679,0.218,457,0.009,2436,0.782
Top 1% Risk,Health Insurance,Private plan,564,0.549,0.475,11.782,65.071,11.782,0.651,0.788,367,1.0,197,1.0,0,0.0
Top 5% Risk,Health Insurance,Private plan,2824,0.625,0.487,43.499,47.982,43.499,0.599,0.545,679,0.501,457,0.311,676,0.499
Overall,Health Insurance,Uninsured,10883,0.893,0.223,100.0,7.535,100.0,0.935,0.422,258,0.315,146,0.015,562,0.685
Top 1% Risk,Health Insurance,Uninsured,108,0.679,0.443,9.39,71.296,9.39,0.713,0.832,77,1.0,31,1.0,0,0.0
Top 5% Risk,Health Insurance,Uninsured,544,0.623,0.482,38.78,58.456,38.78,0.621,0.715,258,0.811,146,0.646,60,0.189
Overall,Health Insurance,Medicaid/CHIP,15314,0.876,0.248,100.0,9.051,100.0,0.917,0.374,378,0.273,258,0.019,1008,0.727
Top 1% Risk,Health Insurance,Medicaid/CHIP,153,0.526,0.496,6.638,60.131,6.638,0.601,0.751,92,1.0,61,1.0,0,0.0
Top 5% Risk,Health Insurance,Medicaid/CHIP,765,0.543,0.494,31.746,57.516,31.746,0.582,0.703,378,0.859,258,0.794,62,0.141
Overall,Health Insurance,Other,4370,0.889,0.229,100.0,7.597,100.0,0.927,0.338,81,0.244,67,0.017,251,0.756
Top 1% Risk,Health Insurance,Other,43,0.564,0.509,7.53,58.14,7.53,0.581,0.735,25,1.0,18,1.0,0,0.0
Top 5% Risk,Health Insurance,Other,218,0.547,0.501,35.241,53.67,35.241,0.528,0.611,81,0.692,67,0.663,36,0.308
Overall,Health Insurance,Medicare,3411,0.876,0.166,100.0,3.606,100.0,0.969,0.352,29,0.236,13,0.004,94,0.764
Top 1% Risk,Health Insurance,Medicare,34,0.573,0.453,20.325,73.529,20.325,0.735,0.847,25,1.0,9,1.0,0,0.0
Top 5% Risk,Health Insurance,Medicare,170,0.738,0.43,44.715,32.353,44.715,0.771,0.598,29,0.527,13,0.113,26,0.473
