Subset,Group,Group Value,Patients,AUC-ROC,RMSE,TPR (%),Precision (%),TP %,Accuracy,F1 Score,TP,TPR,FP,FPR,FN,FNR
Overall,All,All,90469,0.887,0.21,100.0,6.385,100.0,0.941,0.341,1377,0.238,921,0.011,4399,0.762
Top 1% Risk,,,904,0.508,0.475,10.336,66.04,10.336,0.66,0.795,597,1.0,307,1.0,0,0.0
Top 5% Risk,,,4523,0.609,0.491,40.738,52.023,40.738,0.581,0.592,1377,0.585,921,0.424,976,0.415
Overall,Marital Status:SPD,Married:No,33748,0.702,0.11,100.0,1.256,100.0,0.987,0.0,0,0.0,0,0.0,424,1.0
Top 1% Risk,Marital Status:SPD,Married:No,337,0.622,0.404,15.802,19.881,15.802,0.801,0.0,0,0.0,0,0.0,67,1.0
Top 5% Risk,Marital Status:SPD,Married:No,1687,0.723,0.264,31.368,7.884,31.368,0.921,0.0,0,0.0,0,0.0,133,1.0
Overall,Marital Status:SPD,Never Been Married:No,31151,0.733,0.162,100.0,2.835,100.0,0.972,0.0,0,0.0,0,0.0,883,1.0
Top 1% Risk,Marital Status:SPD,Never Been Married:No,311,0.56,0.441,9.513,27.01,9.513,0.73,0.0,0,0.0,0,0.0,84,1.0
Top 5% Risk,Marital Status:SPD,Never Been Married:No,1557,0.651,0.353,27.18,15.414,27.18,0.846,0.0,0,0.0,0,0.0,240,1.0
Overall,Marital Status:SPD,Never Been Married:Yes,9449,0.737,0.428,100.0,31.696,100.0,0.729,0.472,1143,0.382,710,0.11,1852,0.618
Top 1% Risk,Marital Status:SPD,Never Been Married:Yes,94,0.598,0.41,2.471,78.723,2.471,0.787,0.881,74,1.0,20,1.0,0,0.0
Top 5% Risk,Marital Status:SPD,Never Been Married:Yes,472,0.563,0.467,10.551,66.949,10.551,0.669,0.802,316,1.0,156,1.0,0,0.0
Overall,Marital Status:SPD,Married:Yes,3708,0.741,0.382,100.0,21.332,100.0,0.789,0.238,122,0.154,112,0.038,669,0.846
Top 1% Risk,Marital Status:SPD,Married:Yes,37,0.512,0.507,2.528,54.054,2.528,0.541,0.702,20,1.0,17,1.0,0,0.0
Top 5% Risk,Marital Status:SPD,Married:Yes,185,0.502,0.498,13.021,55.676,13.021,0.557,0.715,103,1.0,82,1.0,0,0.0
Overall,Marital Status:SPD,Widowed:No,2523,0.738,0.11,100.0,1.268,100.0,0.987,0.0,0,0.0,0,0.0,32,1.0
Top 1% Risk,Marital Status:SPD,Widowed:No,25,0.548,0.354,12.5,16.0,12.5,0.84,0.0,0,0.0,0,0.0,4,1.0
Top 5% Risk,Marital Status:SPD,Widowed:No,126,0.706,0.287,37.5,9.524,37.5,0.905,0.0,0,0.0,0,0.0,12,1.0
Overall,Marital Status:SPD,Divorced or Separated:No,7901,0.762,0.133,100.0,1.861,100.0,0.981,0.0,0,0.0,0,0.0,147,1.0
Top 1% Risk,Marital Status:SPD,Divorced or Separated:No,79,0.563,0.355,8.163,15.19,8.163,0.848,0.0,0,0.0,0,0.0,12,1.0
Top 5% Risk,Marital Status:SPD,Divorced or Separated:No,395,0.626,0.315,30.612,11.392,30.612,0.886,0.0,0,0.0,0,0.0,45,1.0
Overall,Marital Status:SPD,Divorced or Separated:Yes,1727,0.714,0.415,100.0,26.636,100.0,0.744,0.309,99,0.215,81,0.064,361,0.785
Top 1% Risk,Marital Status:SPD,Divorced or Separated:Yes,17,0.5,0.497,2.391,64.706,2.391,0.647,0.786,11,1.0,6,1.0,0,0.0
Top 5% Risk,Marital Status:SPD,Divorced or Separated:Yes,86,0.504,0.482,12.174,65.116,12.174,0.651,0.789,56,1.0,30,1.0,0,0.0
Overall,Marital Status:SPD,Widowed:Yes,262,0.722,0.371,100.0,16.794,100.0,0.813,0.347,13,0.295,18,0.083,31,0.705
Top 1% Risk,Marital Status:SPD,Widowed:Yes,2,0.0,0.692,2.273,50.0,2.273,0.5,0.667,1,1.0,1,1.0,0,0.0
Top 5% Risk,Marital Status:SPD,Widowed:Yes,13,0.667,0.673,9.091,30.769,9.091,0.308,0.471,4,1.0,9,1.0,0,0.0
