Subset,Group,Group Value,Patients,AUC-ROC,RMSE,TPR (%),Precision (%),TP %,Accuracy,F1 Score,TP,TPR,FP,FPR,FN,FNR
Overall,All,All,90469,0.886,0.211,100.0,6.385,100.0,0.941,0.338,1369,0.237,954,0.011,4407,0.763
Top 1% Risk,,,904,0.548,0.476,10.093,64.491,10.093,0.645,0.784,583,1.0,321,1.0,0,0.0
Top 5% Risk,,,4523,0.605,0.491,40.184,51.315,40.184,0.579,0.59,1369,0.59,954,0.433,952,0.41
Overall,Race,NonHisp White,54998,0.886,0.213,100.0,6.486,100.0,0.94,0.345,875,0.245,634,0.012,2692,0.755
Top 1% Risk,Race,NonHisp White,549,0.548,0.484,9.588,62.295,9.588,0.623,0.768,342,1.0,207,1.0,0,0.0
Top 5% Risk,Race,NonHisp White,2749,0.603,0.492,39.389,51.109,39.389,0.577,0.601,875,0.623,634,0.472,530,0.377
Overall,Race,NonHisp Asian,4450,0.869,0.188,100.0,4.674,100.0,0.956,0.277,38,0.183,28,0.007,170,0.817
Top 1% Risk,Race,NonHisp Asian,44,0.593,0.484,12.981,61.364,12.981,0.614,0.761,27,1.0,17,1.0,0,0.0
Top 5% Risk,Race,NonHisp Asian,222,0.636,0.479,44.712,41.892,44.712,0.626,0.478,38,0.409,28,0.217,55,0.591
Overall,Race,Hispanic,15467,0.896,0.206,100.0,6.239,100.0,0.942,0.316,206,0.213,132,0.009,759,0.787
Top 1% Risk,Race,Hispanic,154,0.518,0.46,11.295,70.779,11.295,0.708,0.829,109,1.0,45,1.0,0,0.0
Top 5% Risk,Race,Hispanic,773,0.609,0.492,42.798,53.428,42.798,0.561,0.549,206,0.499,132,0.367,207,0.501
Overall,Race,NonHisp Native Am/AK Native,1199,0.881,0.238,100.0,8.674,100.0,0.927,0.443,35,0.337,19,0.017,69,0.663
Top 1% Risk,Race,NonHisp Native Am/AK Native,11,0.792,0.42,7.692,72.727,7.692,0.727,0.842,8,1.0,3,1.0,0,0.0
Top 5% Risk,Race,NonHisp Native Am/AK Native,59,0.568,0.475,36.538,64.407,36.538,0.627,0.761,35,0.921,19,0.905,3,0.079
Overall,Race,NonHisp Black/Afr Am,10728,0.872,0.196,100.0,5.062,100.0,0.951,0.251,88,0.162,70,0.007,455,0.838
Top 1% Risk,Race,NonHisp Black/Afr Am,107,0.542,0.5,10.497,53.271,10.497,0.533,0.695,57,1.0,50,1.0,0,0.0
Top 5% Risk,Race,NonHisp Black/Afr Am,536,0.63,0.48,40.7,41.231,40.7,0.621,0.464,88,0.398,70,0.222,133,0.602
Overall,Race,NonHisp more than,3184,0.884,0.265,100.0,11.338,100.0,0.905,0.453,126,0.349,69,0.024,235,0.651
Top 1% Risk,Race,NonHisp more than,31,0.726,0.339,7.756,90.323,7.756,0.903,0.949,28,1.0,3,1.0,0,0.0
Top 5% Risk,Race,NonHisp more than,159,0.616,0.472,27.978,63.522,27.978,0.635,0.777,101,1.0,58,1.0,0,0.0
Overall,Race,NonHisp Native HI/Other Pac Isl,443,0.849,0.223,100.0,6.321,100.0,0.935,0.065,1,0.036,2,0.005,27,0.964
Top 1% Risk,Race,NonHisp Native HI/Other Pac Isl,4,0.25,0.54,7.143,50.0,7.143,0.25,0.4,1,0.5,2,1.0,1,0.5
Top 5% Risk,Race,NonHisp Native HI/Other Pac Isl,22,0.709,0.473,32.143,40.909,32.143,0.545,0.167,1,0.111,2,0.154,8,0.889
