Subset,Group,Group Value,Patients,AUC-ROC,RMSE,TPR (%),Precision (%),TP %,Accuracy,F1 Score,TP,TPR,FP,FPR,FN,FNR
Overall,All,All,90469,0.89,0.21,100.0,6.385,100.0,0.941,0.343,1392,0.241,939,0.011,4384,0.759
Top 1% Risk,,,904,0.51,0.475,10.319,65.929,10.319,0.659,0.795,596,1.0,308,1.0,0,0.0
Top 5% Risk,,,4523,0.609,0.491,40.478,51.691,40.478,0.583,0.596,1392,0.595,939,0.43,946,0.405
Overall,Sex:SPD,Female:No,39348,0.753,0.133,100.0,1.865,100.0,0.981,0.0,0,0.0,0,0.0,734,1.0
Top 1% Risk,Sex:SPD,Female:No,393,0.567,0.423,11.989,22.392,11.989,0.776,0.0,0,0.0,0,0.0,88,1.0
Top 5% Risk,Sex:SPD,Female:No,1967,0.665,0.315,30.654,11.439,30.654,0.886,0.0,0,0.0,0,0.0,225,1.0
Overall,Sex:SPD,Male:No,35975,0.77,0.139,100.0,2.09,100.0,0.979,0.029,11,0.015,8,0.0,741,0.985
Top 1% Risk,Sex:SPD,Male:No,359,0.575,0.432,12.101,25.348,12.101,0.755,0.2,11,0.121,8,0.03,80,0.879
Top 5% Risk,Sex:SPD,Male:No,1798,0.646,0.336,32.58,13.626,32.58,0.865,0.083,11,0.045,8,0.005,234,0.955
Overall,Sex:SPD,Female:Yes,9748,0.753,0.407,100.0,27.226,100.0,0.755,0.409,828,0.312,567,0.08,1826,0.688
Top 1% Risk,Sex:SPD,Female:Yes,97,0.614,0.444,2.638,72.165,2.638,0.722,0.838,70,1.0,27,1.0,0,0.0
Top 5% Risk,Sex:SPD,Female:Yes,487,0.534,0.473,12.095,65.914,12.095,0.659,0.795,321,1.0,166,1.0,0,0.0
Overall,Sex:SPD,Male:Yes,5398,0.723,0.427,100.0,30.308,100.0,0.732,0.433,553,0.338,364,0.097,1083,0.662
Top 1% Risk,Sex:SPD,Male:Yes,53,0.508,0.492,2.078,64.151,2.078,0.642,0.782,34,1.0,19,1.0,0,0.0
Top 5% Risk,Sex:SPD,Male:Yes,269,0.506,0.478,10.758,65.428,10.758,0.654,0.791,176,1.0,93,1.0,0,0.0
