Subset,Group,Group Value,Patients,AUC-ROC,RMSE,TPR (%),Precision (%),TP %,Accuracy,F1 Score,TP,TPR,FP,FPR,FN,FNR
Overall,All,All,90469,0.891,0.211,100.0,6.385,100.0,0.941,0.365,1540,0.267,1112,0.013,4236,0.733
Top 1% Risk,,,904,0.534,0.476,10.319,65.929,10.319,0.659,0.795,596,1.0,308,1.0,0,0.0
Top 5% Risk,,,4523,0.606,0.492,40.409,51.603,40.409,0.579,0.618,1540,0.66,1112,0.508,794,0.34
Overall,Urban Residence,Small Metropolitan,32951,0.895,0.216,100.0,6.798,100.0,0.937,0.374,625,0.279,473,0.015,1615,0.721
Top 1% Risk,Urban Residence,Small Metropolitan,329,0.574,0.464,10.0,68.085,10.0,0.681,0.81,224,1.0,105,1.0,0,0.0
Top 5% Risk,Urban Residence,Small Metropolitan,1647,0.602,0.492,38.616,52.52,38.616,0.567,0.637,625,0.723,473,0.605,240,0.277
Overall,Urban Residence,Large Metropolitan,40827,0.892,0.204,100.0,5.927,100.0,0.945,0.349,601,0.248,420,0.011,1819,0.752
Top 1% Risk,Urban Residence,Large Metropolitan,408,0.488,0.479,11.074,65.686,11.074,0.657,0.793,268,1.0,140,1.0,0,0.0
Top 5% Risk,Urban Residence,Large Metropolitan,2041,0.618,0.49,41.901,49.682,41.901,0.592,0.591,601,0.593,420,0.409,413,0.407
Overall,Urban Residence,Nonmetropolitan,16691,0.881,0.216,100.0,6.686,100.0,0.939,0.381,314,0.281,219,0.014,802,0.719
Top 1% Risk,Urban Residence,Nonmetropolitan,166,0.596,0.488,9.409,63.253,9.409,0.633,0.775,105,1.0,61,1.0,0,0.0
Top 5% Risk,Urban Residence,Nonmetropolitan,834,0.609,0.492,39.337,52.638,39.337,0.588,0.646,314,0.715,219,0.554,125,0.285
