subgroup,model,metric,point,ci_low,ci_high,delong_p
All,FAIR-PLR,auc,0.8851547288785211,0.8802380980386617,0.8896072306988484,
All,FAIR-PLR,tpr_top1,0.1009349030470914,0.09608725761772853,0.10526315789473684,
All,FAIR-PLR,tpr_top5,0.3878116343490305,0.37846260387811637,0.39768871191135735,
All,FAIR-PLR,precision_top1,0.6441988950276243,0.6132596685082873,0.6718232044198895,
All,FAIR-PLR,precision_top5,0.4952465177979217,0.4833075392438647,0.5078598275480876,
All,Standard-LR,auc,0.8853672775548174,0.8806279089963038,0.8898274743400255,0.5643297990915119
All,Standard-LR,tpr_top1,0.10024238227146814,0.09556786703601108,0.10509002770083102,
All,Standard-LR,tpr_top5,0.387292243767313,0.37828514542936287,0.39751125346260385,
All,Standard-LR,precision_top1,0.6397790055248619,0.6099447513812155,0.6707182320441989,
All,Standard-LR,precision_top5,0.49458324121158526,0.48308091974353307,0.5076332080477559,
All,Pooled-EN-no-weight,auc,0.8860631518553257,0.8811761743625085,0.8904367627182017,0.0003970425549744139
All,Pooled-EN-no-weight,tpr_top1,0.10214681440443213,0.09747229916897507,0.10682132963988919,
All,Pooled-EN-no-weight,tpr_top5,0.38763850415512463,0.3784582756232687,0.3976843836565097,
All,Pooled-EN-no-weight,precision_top1,0.6519337016574586,0.6220994475138122,0.6817679558011049,
All,Pooled-EN-no-weight,precision_top5,0.49502542560247625,0.4833020119389786,0.5078543002432014,
All,Decision-Tree,auc,0.8818554787647078,0.8768015645202407,0.8864996962417839,0.00040166258297014146
All,Decision-Tree,tpr_top1,0.09314404432132964,0.0901965027700831,0.10232427285318559,
All,Decision-Tree,tpr_top5,0.38659972299168976,0.3798476454293629,0.4018395083102493,
All,Decision-Tree,precision_top1,0.594475138121547,0.5756629834254143,0.6530662983425415,
All,Decision-Tree,precision_top5,0.4936988724298032,0.4850762768074287,0.5131605129338934,
18-25 Years Old,FAIR-PLR,auc,0.8698570798066286,0.8632977535555615,0.8765247762106098,
18-25 Years Old,FAIR-PLR,tpr_top1,0.06758080313418217,0.06268364348677767,0.07215148547175972,
18-25 Years Old,FAIR-PLR,tpr_top5,0.2902383284361737,0.2797910545217107,0.3003672869735553,
18-25 Years Old,FAIR-PLR,precision_top1,0.711340206185567,0.6597938144329897,0.7594501718213058,
