subgroup,model,metric,point,ci_low,ci_high,delong_p
All,FAIR-PLR,auc,0.8845527992695011,0.8797047574935632,0.8888287839226673,
All,FAIR-PLR,tpr_top1,0.10145429362880887,0.09587950138504156,0.10505107340720221,
All,FAIR-PLR,tpr_top5,0.38677285318559557,0.37844529085872575,0.39899584487534623,
All,FAIR-PLR,precision_top1,0.6475138121546962,0.6119337016574586,0.6704696132596685,
All,FAIR-PLR,precision_top5,0.49391996462524873,0.4832854300243201,0.5095290736237011,
All,Standard-LR,auc,0.8853672775548174,0.8804640152030851,0.8892657429002659,0.045487504013304925
All,Standard-LR,tpr_top1,0.10024238227146814,0.09616516620498615,0.10397333795013851,
All,Standard-LR,tpr_top5,0.387292243767313,0.3797134695290859,0.3998095567867036,
All,Standard-LR,precision_top1,0.6397790055248619,0.6137569060773481,0.6635911602209944,
All,Standard-LR,precision_top5,0.49458324121158526,0.48490493035595844,0.5105682069422949,
All,Pooled-EN-no-weight,auc,0.885941309843442,0.8808970219580837,0.8899669345206002,6.914232086563388e-05
All,Pooled-EN-no-weight,tpr_top1,0.10128116343490305,0.09595308171745152,0.10522420360110803,
All,Pooled-EN-no-weight,tpr_top5,0.3890235457063712,0.3801376385041551,0.39923389889196675,
All,Pooled-EN-no-weight,precision_top1,0.6464088397790055,0.6124033149171271,0.6715745856353591,
All,Pooled-EN-no-weight,precision_top5,0.49679416316604025,0.4854466062347999,0.5098330753924386,
All,Decision-Tree,auc,0.8818554787647078,0.8778974204081498,0.8858209380011276,0.004054143525074938
All,Decision-Tree,tpr_top1,0.09314404432132964,0.09020083102493075,0.10003029778393352,
All,Decision-Tree,tpr_top5,0.38659972299168976,0.3780341066481994,0.4001601454293629,
All,Decision-Tree,precision_top1,0.594475138121547,0.5756906077348066,0.6384254143646408,
All,Decision-Tree,precision_top5,0.4936988724298032,0.4827603360601371,0.511015918638072,
Healthy,FAIR-PLR,auc,0.8850263540360614,0.878084491272114,0.893018899940073,
Healthy,FAIR-PLR,tpr_top1,0.09555442003065917,0.08760858456821666,0.1027082268778743,
Healthy,FAIR-PLR,tpr_top5,0.3709759836484415,0.35417731221257026,0.38528359734287176,
Healthy,FAIR-PLR,precision_top1,0.6296296296296297,0.5772727272727273,0.6767676767676768,
Healthy,FAIR-PLR,precision_top5,0.4888888888888889,0.46675084175084175,0.5077441077441077,
Healthy,Standard-LR,auc,0.8855721508981905,0.8791417229428237,0.8931721983342764,0.3859923349174448
Healthy,Standard-LR,tpr_top1,0.09453244762391415,0.08505365355135411,0.10094532447623915,
Healthy,Standard-LR,tpr_top5,0.36995401124169647,0.3527082268778743,0.38811957077158915,
Healthy,Standard-LR,precision_top1,0.622895622895623,0.5604377104377104,0.6651515151515152,
Healthy,Standard-LR,precision_top5,0.48754208754208755,0.46481481481481485,0.5114814814814815,
Healthy,Pooled-EN-no-weight,auc,0.8871958254033688,0.8812787597851206,0.8951078353883075,4.149835424449577e-05
Healthy,Pooled-EN-no-weight,tpr_top1,0.09453244762391415,0.08698262646908533,0.10157128257537046,
Healthy,Pooled-EN-no-weight,tpr_top5,0.372508942258559,0.35536535513541134,0.3856796116504854,
Healthy,Pooled-EN-no-weight,precision_top1,0.622895622895623,0.5731481481481481,0.6692760942760942,
Healthy,Pooled-EN-no-weight,precision_top5,0.4909090909090909,0.4683164983164983,0.5082659932659933,
Healthy,Decision-Tree,auc,0.8815099524401102,0.873249158814571,0.8888854996831945,0.028046317764597983
Healthy,Decision-Tree,tpr_top1,0.0858456821665815,0.09130045988758304,0.11996678589678078,
Healthy,Decision-Tree,tpr_top5,0.3673990802248339,0.3542284108329075,0.38840061318344404,
Healthy,Decision-Tree,precision_top1,0.5656565656565656,0.6015993265993267,0.7904882154882155,
Healthy,Decision-Tree,precision_top5,0.4841750841750842,0.4668181818181818,0.5118518518518519,
Obesity,FAIR-PLR,auc,0.8864804099187024,0.8778164321768515,0.8947331563205834,
Obesity,FAIR-PLR,tpr_top1,0.1037673496364838,0.09730667547918044,0.11353271645736947,
Obesity,FAIR-PLR,tpr_top5,0.38070059484467944,0.3646232650363516,0.4062954395241242,
Obesity,FAIR-PLR,precision_top1,0.6855895196506551,0.6429039301310044,0.7501091703056768,
Obesity,FAIR-PLR,precision_top5,0.5039370078740157,0.48265529308836397,0.5378171478565179,
Obesity,Standard-LR,auc,0.8871023477231266,0.8788039557664882,0.8958627450928804,0.38682628236093675
Obesity,Standard-LR,tpr_top1,0.10310641110376735,0.09517514871116986,0.11235955056179775,
Obesity,Standard-LR,tpr_top5,0.38400528750826174,0.3654329147389293,0.4030237937871778,
Obesity,Standard-LR,precision_top1,0.6812227074235808,0.62882096069869,0.74235807860262,
Obesity,Standard-LR,precision_top5,0.5083114610673666,0.4837270341207349,0.5334864391951006,
Obesity,Pooled-EN-no-weight,auc,0.8873815124600054,0.8783527359119232,0.8955636907583967,0.11857999650384787
Obesity,Pooled-EN-no-weight,tpr_top1,0.10310641110376735,0.09334104428288169,0.11206212822207534,
Obesity,Pooled-EN-no-weight,tpr_top5,0.38268341044282883,0.3643258426966292,0.4056510244547257,
Obesity,Pooled-EN-no-weight,precision_top1,0.6812227074235808,0.616703056768559,0.7403930131004366,
Obesity,Pooled-EN-no-weight,precision_top5,0.5065616797900262,0.4822615923009624,0.5369641294838146,
Obesity,Decision-Tree,auc,0.8872222904391046,0.8809644158128886,0.89639679351798,0.6825408248069034
Obesity,Decision-Tree,tpr_top1,0.09253139458030403,0.08952412425644415,0.10890614672835426,
Obesity,Decision-Tree,tpr_top5,0.38400528750826174,0.37189358889623264,0.4127891606080634,
Obesity,Decision-Tree,precision_top1,0.611353711790393,0.5914847161572052,0.7195414847161572,
Obesity,Decision-Tree,precision_top5,0.5083114610673666,0.4922790901137358,0.5464129483814523,
Overweight,FAIR-PLR,auc,0.8757247060053617,0.8682273513845167,0.8840667639478524,
Overweight,FAIR-PLR,tpr_top1,0.11205073995771671,0.10375264270613108,0.12191684284707541,
Overweight,FAIR-PLR,tpr_top5,0.4418604651162791,0.42237491190979565,0.4635306553911205,
Overweight,FAIR-PLR,precision_top1,0.6,0.555566037735849,0.6528301886792452,
Overweight,FAIR-PLR,precision_top5,0.47392290249433106,0.4530234315948602,0.4971655328798186,
Overweight,Standard-LR,auc,0.8763908516856116,0.8689160204561169,0.8842731372161059,0.39326483389936917
Overweight,Standard-LR,tpr_top1,0.10852713178294573,0.09756871035940803,0.11557434813248767,
Overweight,Standard-LR,tpr_top5,0.4439746300211416,0.425968992248062,0.4652572233967583,
Overweight,Standard-LR,precision_top1,0.5811320754716981,0.5224528301886793,0.6188679245283019,
Overweight,Standard-LR,precision_top5,0.47619047619047616,0.4568783068783069,0.49901738473167045,
Overweight,Pooled-EN-no-weight,auc,0.8771507501602267,0.8697423657313391,0.8853380150501934,0.032692831230214825
Overweight,Pooled-EN-no-weight,tpr_top1,0.1113460183227625,0.1016384778012685,0.12128259337561663,
Overweight,Pooled-EN-no-weight,tpr_top5,0.44115574348132486,0.4229915433403806,0.4604122621564482,
Overweight,Pooled-EN-no-weight,precision_top1,0.5962264150943396,0.5442452830188679,0.6494339622641508,
Overweight,Pooled-EN-no-weight,precision_top5,0.47316704459561604,0.45368480725623583,0.49382086167800454,
Overweight,Decision-Tree,auc,0.8704259567610537,0.8628862888761071,0.8809174163935821,0.004680489051142711
Overweight,Decision-Tree,tpr_top1,0.102184637068358,0.10304792107117688,0.12958069062720223,
Overweight,Decision-Tree,tpr_top5,0.42283298097251587,0.4081923890063425,0.44452078928823113,
Overweight,Decision-Tree,precision_top1,0.5471698113207547,0.5517924528301886,0.6938679245283018,
Overweight,Decision-Tree,precision_top5,0.45351473922902497,0.43781179138321996,0.47677626606198037,
Severe Obesity,FAIR-PLR,auc,0.8961135440926835,0.8852910361344194,0.906876579812939,
Severe Obesity,FAIR-PLR,tpr_top1,0.08547008547008547,0.07051282051282051,0.09401709401709402,
Severe Obesity,FAIR-PLR,tpr_top5,0.3269230769230769,0.3017628205128205,0.362767094017094,
