subgroup,model,metric,point,ci_low,ci_high,delong_p
All,FAIR-PLR,auc,0.8858121158338446,0.8810531116256604,0.8903490605044329,
All,FAIR-PLR,tpr_top1,0.10006925207756233,0.09504847645429362,0.10457063711911357,
All,FAIR-PLR,tpr_top5,0.3879847645429363,0.3782808171745152,0.3975069252077562,
All,FAIR-PLR,precision_top1,0.6386740331491713,0.6066298342541436,0.6674033149171271,
All,FAIR-PLR,precision_top5,0.49546760999336725,0.4830753924386469,0.5076276807428698,
All,Standard-LR,auc,0.8853672775548174,0.8806279089963038,0.8898274743400255,0.12975363665112605
All,Standard-LR,tpr_top1,0.10024238227146814,0.09556786703601108,0.10509002770083102,
All,Standard-LR,tpr_top5,0.387292243767313,0.37828514542936287,0.39751125346260385,
All,Standard-LR,precision_top1,0.6397790055248619,0.6099447513812155,0.6707182320441989,
All,Standard-LR,precision_top5,0.49458324121158526,0.48308091974353307,0.5076332080477559,
All,Pooled-EN-no-weight,auc,0.8866001665850456,0.8817813960423803,0.8911796959878114,0.0014341667751942566
All,Pooled-EN-no-weight,tpr_top1,0.1018005540166205,0.09660664819944598,0.10596000692520775,
All,Pooled-EN-no-weight,tpr_top5,0.3890235457063712,0.3793239265927978,0.39906942520775623,
All,Pooled-EN-no-weight,precision_top1,0.6497237569060773,0.6165745856353592,0.6762707182320442,
All,Pooled-EN-no-weight,precision_top5,0.49679416316604025,0.48440747291620606,0.5096230378067654,
All,Decision-Tree,auc,0.8818554787647078,0.8768015645202407,0.8864996962417839,2.2586147365721843e-06
All,Decision-Tree,tpr_top1,0.09314404432132964,0.0901965027700831,0.10232427285318559,
All,Decision-Tree,tpr_top5,0.38659972299168976,0.3798476454293629,0.4018395083102493,
All,Decision-Tree,precision_top1,0.594475138121547,0.5756629834254143,0.6530662983425415,
All,Decision-Tree,precision_top5,0.4936988724298032,0.4850762768074287,0.5131605129338934,
Female,FAIR-PLR,auc,0.8886830657901688,0.8828325157935952,0.8949242440777968,
Female,FAIR-PLR,tpr_top1,0.09242957746478873,0.08656103286384977,0.09859154929577464,
Female,FAIR-PLR,tpr_top5,0.3644366197183099,0.35181924882629106,0.3770613262910798,
Female,FAIR-PLR,precision_top1,0.6415478615071283,0.6008146639511202,0.6843177189409368,
Female,FAIR-PLR,precision_top5,0.5059063136456212,0.48839103869653766,0.5234317718940936,
Female,Standard-LR,auc,0.8887350740874538,0.8830126344972199,0.8948086395189392,0.8558574456365555
Female,Standard-LR,tpr_top1,0.09301643192488263,0.08743397887323943,0.0994718309859155,
Female,Standard-LR,tpr_top5,0.36238262910798125,0.3500586854460094,0.3755868544600939,
Female,Standard-LR,precision_top1,0.6456211812627292,0.6068737270875764,0.6904276985743381,
Female,Standard-LR,precision_top5,0.5030549898167006,0.4859470468431772,0.5213849287169042,
Female,Pooled-EN-no-weight,auc,0.8897005700145343,0.883766323679684,0.8957557128439982,0.0002987549713757698
Female,Pooled-EN-no-weight,tpr_top1,0.09272300469483569,0.08744131455399061,0.0994718309859155,
Female,Pooled-EN-no-weight,tpr_top5,0.3644366197183099,0.3529856220657277,0.3785211267605634,
Female,Pooled-EN-no-weight,precision_top1,0.6435845213849287,0.6069246435845214,0.6904276985743381,
Female,Pooled-EN-no-weight,precision_top5,0.5059063136456212,0.490010183299389,0.5254582484725051,
Female,Decision-Tree,auc,0.8847488779461907,0.8789726783345827,0.8911138977408094,6.248012096032873e-05
Female,Decision-Tree,tpr_top1,0.08157276995305164,0.079518779342723,0.09477699530516431,
Female,Decision-Tree,tpr_top5,0.3600352112676056,0.35563380281690143,0.38938526995305167,
Female,Decision-Tree,precision_top1,0.5661914460285132,0.5519348268839104,0.6578411405295316,
Female,Decision-Tree,precision_top5,0.49979633401221996,0.49368635437881875,0.5405397148676171,
Male,FAIR-PLR,auc,0.8804544288817523,0.8730395723179494,0.8883213305603643,
Male,FAIR-PLR,tpr_top1,0.11190878378378379,0.1038745777027027,0.11993243243243243,
Male,FAIR-PLR,tpr_top5,0.4125844594594595,0.39738175675675674,0.42989864864864863,
Male,FAIR-PLR,precision_top1,0.6400966183574879,0.5941425120772946,0.6859903381642513,
Male,FAIR-PLR,precision_top5,0.4724371373307544,0.45502901353965186,0.4922630560928433,
Male,Standard-LR,auc,0.8800695978950951,0.872645084822861,0.8879025278628073,0.3245210415984672
Male,Standard-LR,tpr_top1,0.11106418918918919,0.10304054054054054,0.11952069256756755,
Male,Standard-LR,tpr_top5,0.41342905405405406,0.39862753378378374,0.4303315033783784,
Male,Standard-LR,precision_top1,0.6352657004830918,0.5893719806763285,0.683635265700483,
Male,Standard-LR,precision_top5,0.4734042553191489,0.4564555125725338,0.49275870406189554,
Male,Pooled-EN-no-weight,auc,0.8807829737751418,0.8734216905163196,0.8884749546159535,0.47761554466870293
Male,Pooled-EN-no-weight,tpr_top1,0.11190878378378379,0.10388513513513513,0.12035472972972973,
Male,Pooled-EN-no-weight,tpr_top5,0.41680743243243246,0.40118243243243246,0.4341216216216216,
Male,Pooled-EN-no-weight,precision_top1,0.6400966183574879,0.5942028985507246,0.6884057971014492,
Male,Pooled-EN-no-weight,precision_top5,0.4772727272727273,0.45938104448742745,0.49709864603481624,
Male,Decision-Tree,auc,0.8768784265431615,0.8691001776271291,0.8852994962394654,0.012282930935827663
Male,Decision-Tree,tpr_top1,0.11148648648648649,0.12119932432432433,0.13724662162162163,
Male,Decision-Tree,tpr_top5,0.4155405405405405,0.4032939189189189,0.4408783783783784,
Male,Decision-Tree,precision_top1,0.6376811594202898,0.6932367149758454,0.785024154589372,
Male,Decision-Tree,precision_top5,0.4758220502901354,0.46179883945841393,0.504835589941973,
