subgroup,model,metric,point,ci_low,ci_high,delong_p
All,FAIR-PLR,auc,0.8846203930847124,0.8796894389833537,0.8894985051241205,
All,FAIR-PLR,tpr_top1,0.10024238227146814,0.09539473684210527,0.10405124653739613,
All,FAIR-PLR,tpr_top5,0.38885041551246535,0.37949272853185595,0.3979051246537396,
All,FAIR-PLR,precision_top1,0.6397790055248619,0.6088397790055249,0.6640883977900552,
All,FAIR-PLR,precision_top5,0.4965730709705947,0.4846230378067654,0.5081361927923944,
All,Standard-LR,auc,0.8853672775548174,0.880297253205753,0.8900307735582496,0.0449819010424275
All,Standard-LR,tpr_top1,0.10024238227146814,0.09608725761772853,0.10405557479224377,
All,Standard-LR,tpr_top5,0.387292243767313,0.37793888504155126,0.3973554362880886,
All,Standard-LR,precision_top1,0.6397790055248619,0.6132596685082873,0.6641160220994475,
All,Standard-LR,precision_top5,0.49458324121158526,0.48263873535264207,0.507434225071855,
All,Pooled-EN-no-weight,auc,0.8861897660731494,0.8810692680571441,0.8907716002449192,9.216192868866102e-06
All,Pooled-EN-no-weight,tpr_top1,0.1018005540166205,0.09712603878116344,0.10596000692520775,
All,Pooled-EN-no-weight,tpr_top5,0.38833102493074795,0.3787915512465374,0.3977016966759003,
All,Pooled-EN-no-weight,precision_top1,0.6497237569060773,0.6198895027624309,0.6762707182320442,
All,Pooled-EN-no-weight,precision_top5,0.49590979438425825,0.48372761441521117,0.507876409462746,
All,Decision-Tree,auc,0.8818554787647078,0.8764166839136581,0.886499696241784,0.002030550638361106
All,Decision-Tree,tpr_top1,0.09314404432132964,0.08967711218836566,0.10163175207756232,
All,Decision-Tree,tpr_top5,0.38659972299168976,0.37774844182825484,0.40116430055401664,
All,Decision-Tree,precision_top1,0.594475138121547,0.5723480662983426,0.6486464088397791,
All,Decision-Tree,precision_top5,0.4936988724298032,0.482395533937652,0.512298253371656,
Medicaid/CHIP,FAIR-PLR,auc,0.8673083384259459,0.8578349010929128,0.876467447177912,
Medicaid/CHIP,FAIR-PLR,tpr_top1,0.06823027718550106,0.05970149253731343,0.07462686567164178,
Medicaid/CHIP,FAIR-PLR,tpr_top5,0.2885572139303483,0.27004264392324095,0.30705401563610524,
Medicaid/CHIP,FAIR-PLR,precision_top1,0.631578947368421,0.5526315789473685,0.6907894736842105,
Medicaid/CHIP,FAIR-PLR,precision_top5,0.5328083989501312,0.49862204724409454,0.5669619422572179,
Medicaid/CHIP,Standard-LR,auc,0.8679868485043895,0.8583767688131534,0.8772916666987604,0.22199636561817915
Medicaid/CHIP,Standard-LR,tpr_top1,0.06680881307746979,0.06041222459132907,0.07393390191897654,
Medicaid/CHIP,Standard-LR,tpr_top5,0.2906894100923952,0.2721926083866382,0.3091684434968017,
Medicaid/CHIP,Standard-LR,precision_top1,0.618421052631579,0.5592105263157895,0.6843750000000001,
Medicaid/CHIP,Standard-LR,precision_top5,0.536745406824147,0.5025918635170603,0.5708661417322834,
Medicaid/CHIP,Pooled-EN-no-weight,auc,0.8683050373038048,0.8589842416310287,0.8780359275797877,0.07381093060397736
Medicaid/CHIP,Pooled-EN-no-weight,tpr_top1,0.06823027718550106,0.06179815209665956,0.07464463397299217,
Medicaid/CHIP,Pooled-EN-no-weight,tpr_top5,0.2857142857142857,0.2672174840085288,0.30350035536602704,
Medicaid/CHIP,Pooled-EN-no-weight,precision_top1,0.631578947368421,0.5720394736842105,0.6909539473684211,
Medicaid/CHIP,Pooled-EN-no-weight,precision_top5,0.5275590551181102,0.4934055118110236,0.5604002624671917,
Medicaid/CHIP,Decision-Tree,auc,0.8687029722834012,0.859580007986942,0.8792545113461665,0.4124552137625246
Medicaid/CHIP,Decision-Tree,tpr_top1,0.06680881307746979,0.05970149253731343,0.07889125799573561,
Medicaid/CHIP,Decision-Tree,tpr_top5,0.2914001421464108,0.27789623312011374,0.31272210376687987,
Medicaid/CHIP,Decision-Tree,precision_top1,0.618421052631579,0.5526315789473685,0.7302631578947368,
Medicaid/CHIP,Decision-Tree,precision_top5,0.5380577427821522,0.5131233595800525,0.5774278215223098,
Medicare,FAIR-PLR,auc,0.8910858400586941,0.8626313083010168,0.9235834818153233,
Medicare,FAIR-PLR,tpr_top1,0.13793103448275862,0.08620689655172414,0.18125000000000005,
Medicare,FAIR-PLR,tpr_top5,0.49137931034482757,0.43081896551724136,0.5948275862068966,
Medicare,FAIR-PLR,precision_top1,0.47058823529411764,0.29411764705882354,0.6183823529411767,
Medicare,FAIR-PLR,precision_top5,0.3352941176470588,0.29397058823529415,0.40588235294117647,
Medicare,Standard-LR,auc,0.8938227125039303,0.8610732627607168,0.9230193048422598,0.6393384930971318
Medicare,Standard-LR,tpr_top1,0.14655172413793102,0.09482758620689655,0.19849137931034488,
Medicare,Standard-LR,tpr_top5,0.5172413793103449,0.4394396551724138,0.6122844827586207,
Medicare,Standard-LR,precision_top1,0.5,0.3235294117647059,0.6772058823529414,
Medicare,Standard-LR,precision_top5,0.35294117647058826,0.2998529411764706,0.41779411764705887,
Medicare,Pooled-EN-no-weight,auc,0.8915745204905147,0.8623621737763337,0.9250880410858402,0.9164293140686663
Medicare,Pooled-EN-no-weight,tpr_top1,0.13793103448275862,0.10344827586206896,0.1896551724137931,
Medicare,Pooled-EN-no-weight,tpr_top5,0.5,0.43103448275862066,0.5948275862068966,
Medicare,Pooled-EN-no-weight,precision_top1,0.47058823529411764,0.35294117647058826,0.6470588235294118,
Medicare,Pooled-EN-no-weight,precision_top5,0.3411764705882353,0.29411764705882354,0.40588235294117647,
Medicare,Decision-Tree,auc,0.8674798239178283,0.830700922335185,0.9012717154910387,0.0030255392735467623
Medicare,Decision-Tree,tpr_top1,0.14655172413793102,0.10323275862068966,0.22413793103448276,
Medicare,Decision-Tree,tpr_top5,0.47413793103448276,0.4049568965517241,0.5603448275862069,
Medicare,Decision-Tree,precision_top1,0.5,0.3522058823529412,0.7647058823529411,
Medicare,Decision-Tree,precision_top5,0.3235294117647059,0.27632352941176475,0.38235294117647056,
