subgroup,model,metric,point,ci_low,ci_high,delong_p
All,FAIR-PLR,auc,0.8806199792795704,0.875608889348577,0.8853127138855891,
All,FAIR-PLR,tpr_top1,0.09747229916897507,0.0922740650969529,0.10163175207756232,
All,FAIR-PLR,tpr_top5,0.3912742382271468,0.3814058171745152,0.401146987534626,
All,FAIR-PLR,precision_top1,0.6220994475138122,0.5889226519337016,0.648646408839779,
All,FAIR-PLR,precision_top5,0.49966836170683177,0.48706610656643823,0.5122761441521114,
All,Standard-LR,auc,0.8853672775548174,0.8806279089963038,0.8898274743400255,7.707323668171284e-11
All,Standard-LR,tpr_top1,0.10024238227146814,0.09556786703601108,0.10509002770083102,
All,Standard-LR,tpr_top5,0.387292243767313,0.37828514542936287,0.39751125346260385,
All,Standard-LR,precision_top1,0.6397790055248619,0.6099447513812155,0.6707182320441989,
All,Standard-LR,precision_top5,0.49458324121158526,0.48308091974353307,0.5076332080477559,
All,Pooled-EN-no-weight,auc,0.8866825206114323,0.8818704440100473,0.8910904471255038,0.0
All,Pooled-EN-no-weight,tpr_top1,0.10006925207756233,0.09539473684210527,0.10492122576177285,
All,Pooled-EN-no-weight,tpr_top5,0.3898891966759003,0.38018957756232685,0.3997619459833795,
All,Pooled-EN-no-weight,precision_top1,0.6386740331491713,0.6088397790055249,0.6696408839779006,
All,Pooled-EN-no-weight,precision_top5,0.4978996241432677,0.4855129338934336,0.5105074065885474,
All,Decision-Tree,auc,0.8818554787647078,0.8768015645202407,0.8864996962417839,0.26422132517179264
All,Decision-Tree,tpr_top1,0.09314404432132964,0.0901965027700831,0.10232427285318559,
All,Decision-Tree,tpr_top5,0.38659972299168976,0.3798476454293629,0.4018395083102493,
All,Decision-Tree,precision_top1,0.594475138121547,0.5756629834254143,0.6530662983425415,
All,Decision-Tree,precision_top5,0.4936988724298032,0.4850762768074287,0.5131605129338934,
Hispanic,FAIR-PLR,auc,0.8927439760897725,0.8804117114363119,0.9031705020601609,
Hispanic,FAIR-PLR,tpr_top1,0.0998914223669924,0.08794788273615635,0.11292073832790445,
Hispanic,FAIR-PLR,tpr_top5,0.40499457111834963,0.3799945711183496,0.42779587404994573,
Hispanic,FAIR-PLR,precision_top1,0.6013071895424836,0.5294117647058824,0.6797385620915033,
Hispanic,FAIR-PLR,precision_top5,0.4882198952879581,0.4580824607329843,0.5157068062827225,
Hispanic,Standard-LR,auc,0.8966870545701514,0.8850452276941729,0.9074312153167917,0.030498797758355733
Hispanic,Standard-LR,tpr_top1,0.10314875135722042,0.09120521172638436,0.11509229098805646,
Hispanic,Standard-LR,tpr_top5,0.40933767643865365,0.38219326818675353,0.43213897937024975,
Hispanic,Standard-LR,precision_top1,0.6209150326797386,0.5490196078431373,0.6928104575163399,
Hispanic,Standard-LR,precision_top5,0.49345549738219896,0.4607329842931937,0.5209424083769634,
Hispanic,Pooled-EN-no-weight,auc,0.8982767225002162,0.8870771274517436,0.9085413238392017,0.0006031699047202022
Hispanic,Pooled-EN-no-weight,tpr_top1,0.10423452768729642,0.09120521172638436,0.11509229098805646,
Hispanic,Pooled-EN-no-weight,tpr_top5,0.40390879478827363,0.3778501628664495,0.42888165038002174,
Hispanic,Pooled-EN-no-weight,precision_top1,0.6274509803921569,0.5490196078431373,0.6928104575163399,
Hispanic,Pooled-EN-no-weight,precision_top5,0.4869109947643979,0.45549738219895286,0.5170157068062827,
Hispanic,Decision-Tree,auc,0.8923715607847515,0.8805643852579216,0.9030018475899252,0.8816167670542661
Hispanic,Decision-Tree,tpr_top1,0.0988056460369164,0.09120521172638436,0.11943539630836048,
Hispanic,Decision-Tree,tpr_top5,0.3963083604777416,0.3756514657980456,0.4278230184581976,
Hispanic,Decision-Tree,precision_top1,0.5947712418300654,0.5490196078431373,0.7189542483660131,
Hispanic,Decision-Tree,precision_top5,0.47774869109947643,0.45284685863874347,0.5157395287958114,
NonHisp Asian,FAIR-PLR,auc,0.8723137103124887,0.84486925940509,0.8973229666302752,
NonHisp Asian,FAIR-PLR,tpr_top1,0.1201923076923077,0.08653846153846154,0.14903846153846154,
NonHisp Asian,FAIR-PLR,tpr_top5,0.4375,0.375,0.49038461538461536,
NonHisp Asian,FAIR-PLR,precision_top1,0.5555555555555556,0.4,0.6888888888888889,
NonHisp Asian,FAIR-PLR,precision_top5,0.40444444444444444,0.3466666666666667,0.4533333333333333,
NonHisp Asian,Standard-LR,auc,0.8828278805884668,0.856764019266564,0.9051017411944733,0.02305961017302649
NonHisp Asian,Standard-LR,tpr_top1,0.11057692307692307,0.08653846153846154,0.14423076923076922,
NonHisp Asian,Standard-LR,tpr_top5,0.4375,0.3798076923076923,0.4951923076923077,
NonHisp Asian,Standard-LR,precision_top1,0.5111111111111111,0.4,0.6666666666666666,
NonHisp Asian,Standard-LR,precision_top5,0.40444444444444444,0.3511111111111111,0.4577777777777778,
NonHisp Asian,Pooled-EN-no-weight,auc,0.879256787593514,0.8524915994022265,0.9025827643447757,0.08340165950532796
NonHisp Asian,Pooled-EN-no-weight,tpr_top1,0.11538461538461539,0.08653846153846154,0.14903846153846154,
NonHisp Asian,Pooled-EN-no-weight,tpr_top5,0.4423076923076923,0.3894230769230769,0.5048076923076923,
NonHisp Asian,Pooled-EN-no-weight,precision_top1,0.5333333333333333,0.4,0.6888888888888889,
NonHisp Asian,Pooled-EN-no-weight,precision_top5,0.4088888888888889,0.36,0.4666666666666667,
NonHisp Asian,Decision-Tree,auc,0.8783719842860722,0.8535783078891793,0.901243562524609,0.37969435451321787
NonHisp Asian,Decision-Tree,tpr_top1,0.1346153846153846,0.1201923076923077,0.1971153846153846,
