subgroup,model,metric,point,ci_low,ci_high,delong_p
All,FAIR-PLR,auc,0.8854158673809427,0.880243128351542,0.8899206133320844,
All,FAIR-PLR,tpr_top1,0.10024238227146814,0.0957323407202216,0.10439750692520776,
All,FAIR-PLR,tpr_top5,0.3859072022160665,0.37655384349030474,0.3959530817174515,
All,FAIR-PLR,precision_top1,0.6397790055248619,0.6109944751381216,0.6662983425414365,
All,FAIR-PLR,precision_top5,0.4928145036480212,0.4808699977890781,0.5056433782887464,
All,Standard-LR,auc,0.8853672775548174,0.880297253205753,0.8900307735582496,0.8616806292706998
All,Standard-LR,tpr_top1,0.10024238227146814,0.09608725761772853,0.10405557479224377,
All,Standard-LR,tpr_top5,0.387292243767313,0.37793888504155126,0.3973554362880886,
All,Standard-LR,precision_top1,0.6397790055248619,0.6132596685082873,0.6641160220994475,
All,Standard-LR,precision_top5,0.49458324121158526,0.48263873535264207,0.507434225071855,
All,Pooled-EN-no-weight,auc,0.8862565841110404,0.8810165832204194,0.8907579376717729,0.013931085753785988
All,Pooled-EN-no-weight,tpr_top1,0.10110803324099724,0.09643351800554016,0.10526315789473684,
All,Pooled-EN-no-weight,tpr_top5,0.38659972299168976,0.3775926246537396,0.3968187326869806,
All,Pooled-EN-no-weight,precision_top1,0.6453038674033149,0.6154696132596685,0.6718232044198895,
All,Pooled-EN-no-weight,precision_top5,0.4936988724298032,0.48219655096175107,0.5067488392659739,
All,Decision-Tree,auc,0.8818554787647078,0.8764166839136581,0.886499696241784,3.6449597532239864e-05
All,Decision-Tree,tpr_top1,0.09314404432132964,0.08967711218836566,0.10163175207756232,
All,Decision-Tree,tpr_top5,0.38659972299168976,0.37774844182825484,0.40116430055401664,
All,Decision-Tree,precision_top1,0.594475138121547,0.5723480662983426,0.6486464088397791,
All,Decision-Tree,precision_top5,0.4936988724298032,0.482395533937652,0.512298253371656,
Large Metropolitan,FAIR-PLR,auc,0.8802401938801176,0.872239234663612,0.8874110717255946,
Large Metropolitan,FAIR-PLR,tpr_top1,0.10413153456998314,0.09443507588532883,0.11129848229342328,
Large Metropolitan,FAIR-PLR,tpr_top5,0.39376053962900504,0.3789945193929174,0.4093591905564924,
Large Metropolitan,FAIR-PLR,precision_top1,0.6068796068796068,0.5503685503685504,0.6486486486486487,
Large Metropolitan,FAIR-PLR,precision_top5,0.458968058968059,0.44175675675675674,0.47714987714987717,
Large Metropolitan,Standard-LR,auc,0.8797599834256503,0.8717291324584958,0.8873024569563849,0.08025023694436229
Large Metropolitan,Standard-LR,tpr_top1,0.10370994940978077,0.0956787521079258,0.11173060708263069,
Large Metropolitan,Standard-LR,tpr_top5,0.3962900505902192,0.3823777403035413,0.41232082630691397,
Large Metropolitan,Standard-LR,precision_top1,0.6044226044226044,0.5576167076167077,0.6511670761670761,
Large Metropolitan,Standard-LR,precision_top5,0.4619164619164619,0.4457002457002457,0.4806019656019656,
Large Metropolitan,Pooled-EN-no-weight,auc,0.8809455397634143,0.8728496466170653,0.888435118264927,0.076421031946589
Large Metropolitan,Pooled-EN-no-weight,tpr_top1,0.10623946037099494,0.09736509274873524,0.11298482293423272,
Large Metropolitan,Pooled-EN-no-weight,tpr_top5,0.3975548060708263,0.383210370994941,0.4139966273187184,
Large Metropolitan,Pooled-EN-no-weight,precision_top1,0.6191646191646192,0.5674447174447175,0.6584766584766585,
Large Metropolitan,Pooled-EN-no-weight,precision_top5,0.46339066339066337,0.4466707616707617,0.48255528255528257,
Large Metropolitan,Decision-Tree,auc,0.8758929083280342,0.8671786536163315,0.884378753861185,0.002150894537755521
Large Metropolitan,Decision-Tree,tpr_top1,0.09569983136593592,0.09273819561551433,0.11256323777403035,
Large Metropolitan,Decision-Tree,tpr_top5,0.3954468802698145,0.384464586846543,0.41613617200674535,
Large Metropolitan,Decision-Tree,precision_top1,0.5577395577395577,0.5404791154791155,0.6560196560196561,
Large Metropolitan,Decision-Tree,precision_top5,0.46093366093366095,0.44813267813267815,0.48504914004914,
Nonmetropolitan,FAIR-PLR,auc,0.882931882398373,0.8720358150789184,0.8927862374548191,
Nonmetropolitan,FAIR-PLR,tpr_top1,0.1018935978358882,0.09017132551848513,0.11093327321911634,
Nonmetropolitan,FAIR-PLR,tpr_top5,0.38773669972948605,0.3642921550946799,0.4138863841298467,
Nonmetropolitan,FAIR-PLR,precision_top1,0.6686390532544378,0.591715976331361,0.7279585798816569,
Nonmetropolitan,FAIR-PLR,precision_top5,0.5100830367734283,0.4792408066429419,0.5444839857651246,
Nonmetropolitan,Standard-LR,auc,0.8831870502555654,0.8720554704996032,0.8927845387675762,0.8271816445491693
Nonmetropolitan,Standard-LR,tpr_top1,0.10009017132551848,0.08836789900811542,0.1109107303877367,
Nonmetropolitan,Standard-LR,tpr_top5,0.3886384129846709,0.3651938683498647,0.4138863841298467,
Nonmetropolitan,Standard-LR,precision_top1,0.6568047337278107,0.5798816568047337,0.727810650887574,
Nonmetropolitan,Standard-LR,precision_top5,0.5112692763938316,0.4804270462633452,0.5444839857651246,
Nonmetropolitan,Pooled-EN-no-weight,auc,0.8832895007653319,0.872698745835248,0.8925922631068705,0.7651868383006266
Nonmetropolitan,Pooled-EN-no-weight,tpr_top1,0.10099188458070334,0.09017132551848513,0.11183498647430118,
Nonmetropolitan,Pooled-EN-no-weight,tpr_top5,0.3958521190261497,0.36967989179440935,0.4185076645626691,
Nonmetropolitan,Pooled-EN-no-weight,precision_top1,0.6627218934911243,0.591715976331361,0.7338757396449704,
Nonmetropolitan,Pooled-EN-no-weight,precision_top5,0.5207591933570581,0.4863285883748517,0.5505634638196916,
Nonmetropolitan,Decision-Tree,auc,0.8804337321436142,0.8698538130500493,0.8913273626515165,0.21769938395171318
Nonmetropolitan,Decision-Tree,tpr_top1,0.09648331830477908,0.08836789900811542,0.11456266907123536,
Nonmetropolitan,Decision-Tree,tpr_top5,0.3904418394950406,0.36967989179440935,0.4238503155996393,
Nonmetropolitan,Decision-Tree,precision_top1,0.6331360946745562,0.5798816568047337,0.7517751479289941,
Nonmetropolitan,Decision-Tree,precision_top5,0.5136417556346382,0.4863285883748517,0.5575919335705812,
Small Metropolitan,FAIR-PLR,auc,0.8915713859106423,0.884376072017509,0.8980761404273085,
Small Metropolitan,FAIR-PLR,tpr_top1,0.09542483660130718,0.08757080610021786,0.1024074074074074,
Small Metropolitan,FAIR-PLR,tpr_top5,0.371677559912854,0.3559259259259259,0.3856318082788671,
Small Metropolitan,FAIR-PLR,precision_top1,0.6656534954407295,0.6108662613981762,0.7143617021276596,
Small Metropolitan,FAIR-PLR,precision_top5,0.5185410334346504,0.49656534954407294,0.5380091185410335,
Small Metropolitan,Standard-LR,auc,0.8919062308798703,0.8845218010855163,0.8980967850953484,0.3025459622090758
Small Metropolitan,Standard-LR,tpr_top1,0.09455337690631808,0.08671023965141612,0.10239651416122005,
Small Metropolitan,Standard-LR,tpr_top5,0.3712418300653595,0.35770152505446623,0.3865032679738562,
Small Metropolitan,Standard-LR,precision_top1,0.6595744680851063,0.6048632218844985,0.7142857142857143,
Small Metropolitan,Standard-LR,precision_top5,0.5179331306990882,0.4990425531914893,0.539224924012158,
Small Metropolitan,Pooled-EN-no-weight,auc,0.8926312750953093,0.8855452106199629,0.8988885066197693,0.03447321331805586
Small Metropolitan,Pooled-EN-no-weight,tpr_top1,0.09586056644880174,0.08845315904139434,0.10458605664488017,
Small Metropolitan,Pooled-EN-no-weight,tpr_top5,0.3764705882352941,0.3594553376906318,0.3887037037037037,
Small Metropolitan,Pooled-EN-no-weight,precision_top1,0.668693009118541,0.6170212765957447,0.7295592705167173,
Small Metropolitan,Pooled-EN-no-weight,precision_top5,0.5252279635258359,0.5014893617021277,0.5422948328267477,
Small Metropolitan,Decision-Tree,auc,0.8881824171154058,0.881665521283029,0.8953004612144554,0.006487365635711395
Small Metropolitan,Decision-Tree,tpr_top1,0.08540305010893247,0.08627450980392157,0.10110021786492375,
Small Metropolitan,Decision-Tree,tpr_top5,0.36993464052287583,0.3616230936819172,0.3917320261437908,
Small Metropolitan,Decision-Tree,precision_top1,0.5957446808510638,0.601823708206687,0.7052431610942249,
Small Metropolitan,Decision-Tree,precision_top5,0.5161094224924012,0.5045136778115502,0.5465197568389057,
