subgroup,model,metric,point,ci_low,ci_high
18-25 Years Old,FAIR-PLR,auc,0.881,0.8632977535555615,0.8765247762106098
18-25 Years Old,FAIR-PLR,tpr_top1,0.06563,0.0626836434867776,0.0721514854717597
18-25 Years Old,FAIR-PLR,precision_top1,0.7079000000000001,0.6597938144329897,0.7594501718213058
18-25 Years Old,FAIR-PLR,tpr_top5,0.29086,0.2797910545217107,0.3003672869735553
18-25 Years Old,FAIR-PLR,precision_top5,0.62749,0.5890034364261169,0.632319587628866
26-34 Years Old,FAIR-PLR,auc,0.879,0.866688546978274,0.8883943706583948
26-34 Years Old,FAIR-PLR,tpr_top1,0.09887,0.0806737588652482,0.1037234042553191
26-34 Years Old,FAIR-PLR,precision_top1,0.62295,0.5,0.6428571428571429
26-34 Years Old,FAIR-PLR,tpr_top5,0.37988,0.3581560283687943,0.4024822695035461
26-34 Years Old,FAIR-PLR,precision_top5,0.47869,0.4444444444444444,0.4994499449944994
35-49 Years Old,FAIR-PLR,auc,0.888,0.8742206388184105,0.896567913955308
35-49 Years Old,FAIR-PLR,tpr_top1,0.12653,0.1062441752096924,0.1342031686859273
35-49 Years Old,FAIR-PLR,precision_top1,0.52542,0.4769874476987448,0.602510460251046
35-49 Years Old,FAIR-PLR,tpr_top5,0.47755000000000003,0.4119291705498602,0.4650512581547064
35-49 Years Old,FAIR-PLR,precision_top5,0.39527,0.3701842546063651,0.4179229480737018
50-64 Years Old,FAIR-PLR,auc,0.881,0.846266551521152,0.8863027433444753
50-64 Years Old,FAIR-PLR,tpr_top1,0.15698,0.088235294117647,0.1390374331550802
50-64 Years Old,FAIR-PLR,precision_top1,0.50467,0.308411214953271,0.4859813084112149
50-64 Years Old,FAIR-PLR,tpr_top5,0.51453,0.4277406417112299,0.5187165775401069
50-64 Years Old,FAIR-PLR,precision_top5,0.32899999999999996,0.2984608208955223,0.3619402985074627
65 or Older,FAIR-PLR,auc,0.776,0.7351394625353833,0.8327888370821096
65 or Older,FAIR-PLR,tpr_top1,0.15,0.1304347826086956,0.2465579710144926
65 or Older,FAIR-PLR,precision_top1,0.27907,0.2093023255813953,0.3956395348837206
65 or Older,FAIR-PLR,tpr_top5,0.41875,0.3405797101449275,0.5072463768115942
65 or Older,FAIR-PLR,precision_top5,0.15581,0.1093023255813953,0.1627906976744186
18-25 Years Old,Separate-PLR,auc,0.736,,
18-25 Years Old,Separate-PLR,tpr_top1,0.02848,,
18-25 Years Old,Separate-PLR,precision_top1,0.30137,,
18-25 Years Old,Separate-PLR,tpr_top5,0.12168,,
18-25 Years Old,Separate-PLR,precision_top5,0.25683,,
26-34 Years Old,Separate-PLR,auc,0.814,,
26-34 Years Old,Separate-PLR,tpr_top1,0.07200000000000001,,
26-34 Years Old,Separate-PLR,precision_top1,0.45,,
26-34 Years Old,Separate-PLR,tpr_top5,0.34043999999999996,,
26-34 Years Old,Separate-PLR,precision_top5,0.42367,,
35-49 Years Old,Separate-PLR,auc,0.837,,
35-49 Years Old,Separate-PLR,tpr_top1,0.06262,,
35-49 Years Old,Separate-PLR,precision_top1,0.27426,,
35-49 Years Old,Separate-PLR,tpr_top5,0.30539,,
35-49 Years Old,Separate-PLR,precision_top5,0.26728,,
50-64 Years Old,Separate-PLR,auc,0.79,,
50-64 Years Old,Separate-PLR,tpr_top1,0.07008,,
50-64 Years Old,Separate-PLR,precision_top1,0.24298999999999998,,
50-64 Years Old,Separate-PLR,tpr_top5,0.30997,,
50-64 Years Old,Separate-PLR,precision_top5,0.21495,,
65 or Older,Separate-PLR,auc,0.6,,
65 or Older,Separate-PLR,tpr_top1,0.11842000000000001,,
65 or Older,Separate-PLR,precision_top1,0.20929999999999999,,
65 or Older,Separate-PLR,tpr_top5,0.24342,,
65 or Older,Separate-PLR,precision_top5,0.08564999999999999,,
