subgroup,model,metric,point,ci_low,ci_high
18-25 Years Old:No,FAIR-PLR,auc,0.725,,
18-25 Years Old:No,FAIR-PLR,tpr_top1,0.09327,,
18-25 Years Old:No,FAIR-PLR,precision_top1,0.28241,,
18-25 Years Old:No,FAIR-PLR,tpr_top5,0.263,,
18-25 Years Old:No,FAIR-PLR,precision_top5,0.15867,,
18-25 Years Old:Yes,FAIR-PLR,auc,0.737,,
18-25 Years Old:Yes,FAIR-PLR,tpr_top1,0.024550000000000002,,
18-25 Years Old:Yes,FAIR-PLR,precision_top1,0.82432,,
18-25 Years Old:Yes,FAIR-PLR,tpr_top5,0.10060000000000001,,
18-25 Years Old:Yes,FAIR-PLR,precision_top5,0.6738500000000001,,
26-34 Years Old:No,FAIR-PLR,auc,0.732,,
26-34 Years Old:No,FAIR-PLR,tpr_top1,0.13621,,
26-34 Years Old:No,FAIR-PLR,precision_top1,0.27516999999999997,,
26-34 Years Old:No,FAIR-PLR,tpr_top5,0.29568,,
26-34 Years Old:No,FAIR-PLR,precision_top5,0.11946,,
26-34 Years Old:Yes,FAIR-PLR,auc,0.731,,
26-34 Years Old:Yes,FAIR-PLR,tpr_top1,0.0223,,
26-34 Years Old:Yes,FAIR-PLR,precision_top1,0.57576,,
26-34 Years Old:Yes,FAIR-PLR,tpr_top5,0.11972,,
26-34 Years Old:Yes,FAIR-PLR,precision_top5,0.6035499999999999,,
35-49 Years Old:No,FAIR-PLR,auc,0.741,,
35-49 Years Old:No,FAIR-PLR,tpr_top1,0.12371,,
35-49 Years Old:No,FAIR-PLR,precision_top1,0.17561,,
35-49 Years Old:No,FAIR-PLR,tpr_top5,0.32302,,
35-49 Years Old:No,FAIR-PLR,precision_top5,0.09153,,
35-49 Years Old:Yes,FAIR-PLR,auc,0.75,,
35-49 Years Old:Yes,FAIR-PLR,tpr_top1,0.02612,,
35-49 Years Old:Yes,FAIR-PLR,precision_top1,0.58065,,
35-49 Years Old:Yes,FAIR-PLR,tpr_top5,0.12481999999999999,,
35-49 Years Old:Yes,FAIR-PLR,precision_top5,0.55128,,
50-64 Years Old:No,FAIR-PLR,auc,0.746,,
50-64 Years Old:No,FAIR-PLR,tpr_top1,0.16030999999999998,,
50-64 Years Old:No,FAIR-PLR,precision_top1,0.21428999999999998,,
