subgroup,model,metric,point,ci_low,ci_high
Healthy,FAIR-PLR,auc,0.889,0.878084491272114,0.893018899940073
Healthy,FAIR-PLR,tpr_top1,0.09651,0.0876085845682166,0.1027082268778743
Healthy,FAIR-PLR,precision_top1,0.63514,0.5772727272727273,0.6767676767676768
Healthy,FAIR-PLR,tpr_top5,0.39579000000000003,0.3541773122125702,0.3852835973428717
Healthy,FAIR-PLR,precision_top5,0.51954,0.4667508417508417,0.5077441077441077
Obesity,FAIR-PLR,auc,0.895,0.8778164321768515,0.8947331563205834
Obesity,FAIR-PLR,tpr_top1,0.09673,0.0973066754791804,0.1135327164573694
Obesity,FAIR-PLR,precision_top1,0.6593899999999999,0.6429039301310044,0.7501091703056768
Obesity,FAIR-PLR,tpr_top5,0.39718000000000003,0.3646232650363516,0.4062954395241242
Obesity,FAIR-PLR,precision_top5,0.54054,0.4826552930883639,0.5378171478565179
Overweight,FAIR-PLR,auc,0.886,0.8682273513845167,0.8840667639478524
Overweight,FAIR-PLR,tpr_top1,0.12263,0.103752642706131,0.1219168428470754
Overweight,FAIR-PLR,precision_top1,0.64122,0.555566037735849,0.6528301886792452
Overweight,FAIR-PLR,tpr_top5,0.45765999999999996,0.4223749119097956,0.4635306553911205
Overweight,FAIR-PLR,precision_top5,0.47753,0.4530234315948602,0.4971655328798186
Severe Obesity,FAIR-PLR,auc,0.874,0.8852910361344194,0.906876579812939
Severe Obesity,FAIR-PLR,tpr_top1,0.07095,0.0705128205128205,0.094017094017094
Severe Obesity,FAIR-PLR,precision_top1,0.62745,0.6470588235294118,0.8627450980392157
Severe Obesity,FAIR-PLR,tpr_top5,0.30820000000000003,0.3017628205128205,0.362767094017094
Severe Obesity,FAIR-PLR,precision_top5,0.53876,0.556003937007874,0.6684055118110237
Underweight,FAIR-PLR,auc,0.898,0.8481188199059816,0.8905172263301618
Underweight,FAIR-PLR,tpr_top1,0.06452,0.0653266331658291,0.1043969849246231
Underweight,FAIR-PLR,precision_top1,0.57143,0.5909090909090909,0.9443181818181818
Underweight,FAIR-PLR,tpr_top5,0.34946,0.2585427135678392,0.3506281407035176
Underweight,FAIR-PLR,precision_top5,0.60185,0.4635135135135135,0.6286036036036036
Unknown,FAIR-PLR,auc,0.882,0.860130360314641,0.9145574496551406
Unknown,FAIR-PLR,tpr_top1,0.10385,0.0873863636363636,0.1409090909090909
Unknown,FAIR-PLR,precision_top1,0.64286,0.4577380952380952,0.7380952380952381
Unknown,FAIR-PLR,tpr_top5,0.39615,0.3464772727272727,0.4580681818181818
Unknown,FAIR-PLR,precision_top5,0.48815,0.3664663461538461,0.4844951923076923
Healthy,Separate-PLR,auc,0.724,,
Healthy,Separate-PLR,tpr_top1,0.04446,,
Healthy,Separate-PLR,precision_top1,0.28814,,
Healthy,Separate-PLR,tpr_top5,0.20553999999999997,,
Healthy,Separate-PLR,precision_top5,0.2659,,
Obesity,Separate-PLR,auc,0.682,,
Obesity,Separate-PLR,tpr_top1,0.03344,,
Obesity,Separate-PLR,precision_top1,0.22807,,
Obesity,Separate-PLR,tpr_top5,0.18585000000000002,,
Obesity,Separate-PLR,precision_top5,0.25306,,
Overweight,Separate-PLR,auc,0.768,,
Overweight,Separate-PLR,tpr_top1,0.031030000000000002,,
Overweight,Separate-PLR,precision_top1,0.16604,,
Overweight,Separate-PLR,tpr_top5,0.15021,,
Overweight,Separate-PLR,precision_top5,0.16050999999999999,,
Severe Obesity,Separate-PLR,auc,0.778,,
Severe Obesity,Separate-PLR,tpr_top1,0.05556,,
Severe Obesity,Separate-PLR,precision_top1,0.5097999999999999,,
Severe Obesity,Separate-PLR,tpr_top5,0.24573,,
Severe Obesity,Separate-PLR,precision_top5,0.45098,,
Underweight,Separate-PLR,auc,0.735,,
Underweight,Separate-PLR,tpr_top1,0.03448,,
Underweight,Separate-PLR,precision_top1,0.28571,,
Underweight,Separate-PLR,tpr_top5,0.20115,,
Underweight,Separate-PLR,precision_top5,0.32406999999999997,,
Unknown,Separate-PLR,auc,0.652,,
Unknown,Separate-PLR,tpr_top1,0.044180000000000004,,
Unknown,Separate-PLR,precision_top1,0.2619,,
Unknown,Separate-PLR,tpr_top5,0.18876,,
Unknown,Separate-PLR,precision_top5,0.22381,,
