subgroup,model,metric,point,ci_low,ci_high
Healthy:No,FAIR-PLR,auc,0.73,,
Healthy:No,FAIR-PLR,tpr_top1,0.11134000000000001,,
Healthy:No,FAIR-PLR,precision_top1,0.21633,,
Healthy:No,FAIR-PLR,tpr_top5,0.2605,,
Healthy:No,FAIR-PLR,precision_top5,0.10098000000000001,,
Healthy:Yes,FAIR-PLR,auc,0.731,,
Healthy:Yes,FAIR-PLR,tpr_top1,0.02514,,
Healthy:Yes,FAIR-PLR,precision_top1,0.7254900000000001,,
Healthy:Yes,FAIR-PLR,tpr_top5,0.11345000000000001,,
Healthy:Yes,FAIR-PLR,precision_top5,0.6548999999999999,,
Obesity:No,FAIR-PLR,auc,0.753,,
Obesity:No,FAIR-PLR,tpr_top1,0.11898999999999998,,
Obesity:No,FAIR-PLR,precision_top1,0.24736999999999998,,
Obesity:No,FAIR-PLR,tpr_top5,0.30633,,
Obesity:No,FAIR-PLR,precision_top5,0.12723,,
Obesity:Yes,FAIR-PLR,auc,0.749,,
Obesity:Yes,FAIR-PLR,tpr_top1,0.0223,,
Obesity:Yes,FAIR-PLR,precision_top1,0.66667,,
Obesity:Yes,FAIR-PLR,tpr_top5,0.10891999999999999,,
Obesity:Yes,FAIR-PLR,precision_top5,0.6479600000000001,,
Overweight:No,FAIR-PLR,auc,0.719,,
Overweight:No,FAIR-PLR,tpr_top1,0.12214,,
Overweight:No,FAIR-PLR,precision_top1,0.21333,,
Overweight:No,FAIR-PLR,tpr_top5,0.2799,,
Overweight:No,FAIR-PLR,precision_top5,0.09752000000000001,,
Overweight:Yes,FAIR-PLR,auc,0.75,,
Overweight:Yes,FAIR-PLR,tpr_top1,0.029679999999999998,,
Overweight:Yes,FAIR-PLR,precision_top1,0.78378,,
Overweight:Yes,FAIR-PLR,tpr_top5,0.12282,,
Overweight:Yes,FAIR-PLR,precision_top5,0.64865,,
Severe Obesity:No,FAIR-PLR,auc,0.755,,
Severe Obesity:No,FAIR-PLR,tpr_top1,0.09259,,
Severe Obesity:No,FAIR-PLR,precision_top1,0.25640999999999997,,
Severe Obesity:No,FAIR-PLR,tpr_top5,0.26852,,
Severe Obesity:No,FAIR-PLR,precision_top5,0.14872,,
Severe Obesity:Yes,FAIR-PLR,auc,0.73,,
Severe Obesity:Yes,FAIR-PLR,tpr_top1,0.020409999999999998,,
Severe Obesity:Yes,FAIR-PLR,precision_top1,0.58333,,
Severe Obesity:Yes,FAIR-PLR,tpr_top5,0.11662,,
Severe Obesity:Yes,FAIR-PLR,precision_top5,0.6451600000000001,,
Underweight:No,FAIR-PLR,auc,0.76,,
Underweight:No,FAIR-PLR,tpr_top1,0.22222,,
Underweight:No,FAIR-PLR,precision_top1,0.5,,
Underweight:No,FAIR-PLR,tpr_top5,0.36111,,
Underweight:No,FAIR-PLR,precision_top5,0.15476,,
Underweight:Yes,FAIR-PLR,auc,0.725,,
Underweight:Yes,FAIR-PLR,tpr_top1,0.01333,,
Underweight:Yes,FAIR-PLR,precision_top1,0.5,,
Underweight:Yes,FAIR-PLR,tpr_top5,0.09333,,
Underweight:Yes,FAIR-PLR,precision_top5,0.58333,,
Unknown:No,FAIR-PLR,auc,0.759,,
Unknown:No,FAIR-PLR,tpr_top1,0.16667,,
Unknown:No,FAIR-PLR,precision_top1,0.37143,,
Unknown:No,FAIR-PLR,tpr_top5,0.33332999999999996,,
Unknown:No,FAIR-PLR,precision_top5,0.14607,,
Unknown:Yes,FAIR-PLR,auc,0.714,,
Unknown:Yes,FAIR-PLR,tpr_top1,0.027469999999999998,,
Unknown:Yes,FAIR-PLR,precision_top1,0.83333,,
Unknown:Yes,FAIR-PLR,tpr_top5,0.10989,,
Unknown:Yes,FAIR-PLR,precision_top5,0.60606,,
Healthy:No,Separate-PLR,auc,0.666,,
Healthy:No,Separate-PLR,tpr_top1,0.059640000000000006,,
Healthy:No,Separate-PLR,precision_top1,0.12295,,
Healthy:No,Separate-PLR,tpr_top5,0.15308,,
Healthy:No,Separate-PLR,precision_top5,0.06301,,
Healthy:Yes,Separate-PLR,auc,0.657,,
Healthy:Yes,Separate-PLR,tpr_top1,0.01703,,
Healthy:Yes,Separate-PLR,precision_top1,0.47058999999999995,,
Healthy:Yes,Separate-PLR,tpr_top5,0.07522999999999999,,
Healthy:Yes,Separate-PLR,precision_top5,0.41406,,
Obesity:No,Separate-PLR,auc,0.625,,
Obesity:No,Separate-PLR,tpr_top1,0.05854,,
Obesity:No,Separate-PLR,precision_top1,0.12698,,
Obesity:No,Separate-PLR,tpr_top5,0.15366,,
Obesity:No,Separate-PLR,precision_top5,0.0666,,
Obesity:Yes,Separate-PLR,auc,0.527,,
Obesity:Yes,Separate-PLR,tpr_top1,0.01485,,
Obesity:Yes,Separate-PLR,precision_top1,0.4359,,
Obesity:Yes,Separate-PLR,tpr_top5,0.07773,,
Obesity:Yes,Separate-PLR,precision_top5,0.45641,,
Overweight:No,Separate-PLR,auc,0.686,,
Overweight:No,Separate-PLR,tpr_top1,0.02915,,
Overweight:No,Separate-PLR,precision_top1,0.05702,,
Overweight:No,Separate-PLR,tpr_top5,0.15471000000000001,,
Overweight:No,Separate-PLR,precision_top5,0.060469999999999996,,
Overweight:Yes,Separate-PLR,auc,0.523,,
Overweight:Yes,Separate-PLR,tpr_top1,0.01543,,
Overweight:Yes,Separate-PLR,precision_top1,0.40541,,
Overweight:Yes,Separate-PLR,tpr_top5,0.06996000000000001,,
Overweight:Yes,Separate-PLR,precision_top5,0.36558999999999997,,
Severe Obesity:No,Separate-PLR,auc,0.533,,
Severe Obesity:No,Separate-PLR,tpr_top1,0.01064,,
Severe Obesity:No,Separate-PLR,precision_top1,0.02632,,
Severe Obesity:No,Separate-PLR,tpr_top5,0.04255,,
Severe Obesity:No,Separate-PLR,precision_top5,0.02062,,
Severe Obesity:Yes,Separate-PLR,auc,0.603,,
Severe Obesity:Yes,Separate-PLR,tpr_top1,0.010700000000000001,,
Severe Obesity:Yes,Separate-PLR,precision_top1,0.33332999999999996,,
Severe Obesity:Yes,Separate-PLR,tpr_top5,0.07219,,
Severe Obesity:Yes,Separate-PLR,precision_top5,0.44262,,
Underweight:No,Separate-PLR,auc,0.597,,
Underweight:No,Separate-PLR,tpr_top1,0.09090999999999999,,
Underweight:No,Separate-PLR,precision_top1,0.23529,,
Underweight:No,Separate-PLR,tpr_top5,0.09090999999999999,,
Underweight:No,Separate-PLR,precision_top5,0.047060000000000005,,
Underweight:Yes,Separate-PLR,auc,0.54,,
Underweight:Yes,Separate-PLR,tpr_top1,0.01538,,
Underweight:Yes,Separate-PLR,precision_top1,0.5,,
