subgroup,model,metric,point,ci_low,ci_high
Medicaid/CHIP,FAIR-PLR,auc,0.876,0.8578349010929128,0.876467447177912
Medicaid/CHIP,FAIR-PLR,tpr_top1,0.06638,0.0597014925373134,0.0746268656716417
Medicaid/CHIP,FAIR-PLR,precision_top1,0.60131,0.5526315789473685,0.6907894736842105
Medicaid/CHIP,FAIR-PLR,tpr_top5,0.31745999999999996,0.2700426439232409,0.3070540156361052
Medicaid/CHIP,FAIR-PLR,precision_top5,0.57516,0.4986220472440945,0.5669619422572179
Medicare,FAIR-PLR,auc,0.876,0.8626313083010168,0.9235834818153232
Medicare,FAIR-PLR,tpr_top1,0.20325,0.0862068965517241,0.18125
Medicare,FAIR-PLR,precision_top1,0.73529,0.2941176470588235,0.6183823529411767
Medicare,FAIR-PLR,tpr_top5,0.44715000000000005,0.4308189655172413,0.5948275862068966
Medicare,FAIR-PLR,precision_top5,0.32353000000000004,0.2939705882352941,0.4058823529411764
Other,FAIR-PLR,auc,0.889,0.8704884429601116,0.9067455186988188
Other,FAIR-PLR,tpr_top1,0.0753,0.0756818181818181,0.106060606060606
Other,FAIR-PLR,precision_top1,0.5814,0.5808139534883722,0.813953488372093
Other,FAIR-PLR,tpr_top5,0.35241,0.3362121212121212,0.4182575757575758
Other,FAIR-PLR,precision_top5,0.5367000000000001,0.5112903225806452,0.6360599078341014
Private plan,FAIR-PLR,auc,0.89,0.8790436591365252,0.8913978422667342
Private plan,FAIR-PLR,tpr_top1,0.11782,0.107898574206092,0.121848671419313
Private plan,FAIR-PLR,precision_top1,0.65071,0.590381205673759,0.6667109929078014
Private plan,FAIR-PLR,tpr_top5,0.43499000000000004,0.4186568373298769,0.443948476992871
Private plan,FAIR-PLR,precision_top5,0.47981999999999997,0.4579847571783056,0.4856522509748316
Uninsured,FAIR-PLR,auc,0.893,0.866220544093207,0.893325111501752
Uninsured,FAIR-PLR,tpr_top1,0.09390000000000001,0.077658303464755,0.1027479091995221
Uninsured,FAIR-PLR,precision_top1,0.71296,0.5909090909090909,0.7818181818181819
Uninsured,FAIR-PLR,tpr_top5,0.38780000000000003,0.3332735961768219,0.3872162485065711
Uninsured,FAIR-PLR,precision_top5,0.5845600000000001,0.5053442028985508,0.5871376811594203
Medicaid/CHIP,Separate-PLR,auc,0.728,,
Medicaid/CHIP,Separate-PLR,tpr_top1,0.02129,,
Medicaid/CHIP,Separate-PLR,precision_top1,0.19204999999999997,,
Medicaid/CHIP,Separate-PLR,tpr_top5,0.09912000000000001,,
Medicaid/CHIP,Separate-PLR,precision_top5,0.17834,,
Medicare,Separate-PLR,auc,0.693,,
Medicare,Separate-PLR,tpr_top1,0.06817999999999999,,
Medicare,Separate-PLR,precision_top1,0.26471,,
Medicare,Separate-PLR,tpr_top5,0.34091,,
Medicare,Separate-PLR,precision_top5,0.26163000000000003,,
Other,Separate-PLR,auc,0.689,,
Other,Separate-PLR,tpr_top1,0.050789999999999995,,
Other,Separate-PLR,precision_top1,0.37209000000000003,,
Other,Separate-PLR,tpr_top5,0.2254,,
Other,Separate-PLR,precision_top5,0.32719000000000004,,
Private plan,Separate-PLR,auc,0.681,,
Private plan,Separate-PLR,tpr_top1,0.04099,,
Private plan,Separate-PLR,precision_top1,0.22655,,
Private plan,Separate-PLR,tpr_top5,0.18059999999999998,,
Private plan,Separate-PLR,precision_top5,0.19936,,
Uninsured,Separate-PLR,auc,0.769,,
Uninsured,Separate-PLR,tpr_top1,0.042649999999999993,,
Uninsured,Separate-PLR,precision_top1,0.33027999999999996,,
Uninsured,Separate-PLR,tpr_top5,0.22512000000000001,,
Uninsured,Separate-PLR,precision_top5,0.34799,,
