subgroup,model,metric,point,ci_low,ci_high
Divorced or Separated:No,FAIR-PLR,auc,0.762,,
Divorced or Separated:No,FAIR-PLR,tpr_top1,0.08163000000000001,,
Divorced or Separated:No,FAIR-PLR,precision_top1,0.1519,,
Divorced or Separated:No,FAIR-PLR,tpr_top5,0.30612,,
Divorced or Separated:No,FAIR-PLR,precision_top5,0.11392,,
Divorced or Separated:Yes,FAIR-PLR,auc,0.714,,
Divorced or Separated:Yes,FAIR-PLR,tpr_top1,0.02391,,
Divorced or Separated:Yes,FAIR-PLR,precision_top1,0.6470600000000001,,
Divorced or Separated:Yes,FAIR-PLR,tpr_top5,0.12174,,
Divorced or Separated:Yes,FAIR-PLR,precision_top5,0.65116,,
Married:No,FAIR-PLR,auc,0.702,,
Married:No,FAIR-PLR,tpr_top1,0.15802,,
Married:No,FAIR-PLR,precision_top1,0.19881000000000001,,
Married:No,FAIR-PLR,tpr_top5,0.31367999999999996,,
Married:No,FAIR-PLR,precision_top5,0.07884000000000001,,
Married:Yes,FAIR-PLR,auc,0.741,,
Married:Yes,FAIR-PLR,tpr_top1,0.02528,,
Married:Yes,FAIR-PLR,precision_top1,0.54054,,
Married:Yes,FAIR-PLR,tpr_top5,0.13021000000000002,,
Married:Yes,FAIR-PLR,precision_top5,0.55676,,
Never Been Married:No,FAIR-PLR,auc,0.733,,
Never Been Married:No,FAIR-PLR,tpr_top1,0.09512999999999999,,
Never Been Married:No,FAIR-PLR,precision_top1,0.2701,,
Never Been Married:No,FAIR-PLR,tpr_top5,0.2718,,
Never Been Married:No,FAIR-PLR,precision_top5,0.15414,,
Never Been Married:Yes,FAIR-PLR,auc,0.737,,
Never Been Married:Yes,FAIR-PLR,tpr_top1,0.02471,,
Never Been Married:Yes,FAIR-PLR,precision_top1,0.78723,,
Never Been Married:Yes,FAIR-PLR,tpr_top5,0.10551,,
Never Been Married:Yes,FAIR-PLR,precision_top5,0.66949,,
Widowed:No,FAIR-PLR,auc,0.738,,
Widowed:No,FAIR-PLR,tpr_top1,0.125,,
Widowed:No,FAIR-PLR,precision_top1,0.16,,
Widowed:No,FAIR-PLR,tpr_top5,0.375,,
Widowed:No,FAIR-PLR,precision_top5,0.09523999999999999,,
Widowed:Yes,FAIR-PLR,auc,0.722,,
Widowed:Yes,FAIR-PLR,tpr_top1,0.02273,,
Widowed:Yes,FAIR-PLR,precision_top1,0.5,,
Widowed:Yes,FAIR-PLR,tpr_top5,0.09090999999999999,,
Widowed:Yes,FAIR-PLR,precision_top5,0.30768999999999996,,
Divorced or Separated:No,Separate-PLR,auc,0.515,,
Divorced or Separated:No,Separate-PLR,tpr_top1,0.03784,,
Divorced or Separated:No,Separate-PLR,precision_top1,0.08974,,
Divorced or Separated:No,Separate-PLR,tpr_top5,0.07027,,
Divorced or Separated:No,Separate-PLR,precision_top5,0.033159999999999995,,
Divorced or Separated:Yes,Separate-PLR,auc,0.621,,
Divorced or Separated:Yes,Separate-PLR,tpr_top1,0.01106,,
Divorced or Separated:Yes,Separate-PLR,precision_top1,0.3125,,
Divorced or Separated:Yes,Separate-PLR,tpr_top5,0.053099999999999994,,
Divorced or Separated:Yes,Separate-PLR,precision_top5,0.28916000000000003,,
Married:No,Separate-PLR,auc,0.614,,
Married:No,Separate-PLR,tpr_top1,0.09198,,
Married:No,Separate-PLR,precision_top1,0.11642,,
Married:No,Separate-PLR,tpr_top5,0.20518999999999998,,
Married:No,Separate-PLR,precision_top5,0.05194,,
Married:Yes,Separate-PLR,auc,0.646,,
Married:Yes,Separate-PLR,tpr_top1,0.011319999999999998,,
Married:Yes,Separate-PLR,precision_top1,0.24324,,
Married:Yes,Separate-PLR,tpr_top5,0.06289,,
Married:Yes,Separate-PLR,precision_top5,0.27027,,
Never Been Married:No,Separate-PLR,auc,0.554,,
Never Been Married:No,Separate-PLR,tpr_top1,0.03728,,
Never Been Married:No,Separate-PLR,precision_top1,0.10794000000000001,,
Never Been Married:No,Separate-PLR,tpr_top5,0.10307000000000001,,
Never Been Married:No,Separate-PLR,precision_top5,0.05961,,
Never Been Married:Yes,Separate-PLR,auc,0.661,,
Never Been Married:Yes,Separate-PLR,tpr_top1,0.01574,,
Never Been Married:Yes,Separate-PLR,precision_top1,0.48936,,
Never Been Married:Yes,Separate-PLR,tpr_top5,0.08007999999999998,,
Never Been Married:Yes,Separate-PLR,precision_top5,0.49576,,
Widowed:No,Separate-PLR,auc,0.569,,
Widowed:No,Separate-PLR,tpr_top1,0.0,,
Widowed:No,Separate-PLR,precision_top1,0.0,,
Widowed:No,Separate-PLR,tpr_top5,0.02703,,
Widowed:No,Separate-PLR,precision_top5,0.008060000000000001,,
Widowed:Yes,Separate-PLR,auc,0.726,,
Widowed:Yes,Separate-PLR,tpr_top1,0.020409999999999998,,
Widowed:Yes,Separate-PLR,precision_top1,0.5,,
Widowed:Yes,Separate-PLR,tpr_top5,0.12244999999999999,,
Widowed:Yes,Separate-PLR,precision_top5,0.46154000000000006,,
