subgroup,model,metric,point,ci_low,ci_high
Hispanic,FAIR-PLR,auc,0.896,0.8804117114363119,0.9031705020601608
Hispanic,FAIR-PLR,tpr_top1,0.11295,0.0879478827361563,0.1129207383279044
Hispanic,FAIR-PLR,precision_top1,0.7077899999999999,0.5294117647058824,0.6797385620915033
Hispanic,FAIR-PLR,tpr_top5,0.42798,0.3799945711183496,0.4277958740499457
Hispanic,FAIR-PLR,precision_top5,0.53428,0.4580824607329843,0.5157068062827225
NonHisp Asian,FAIR-PLR,auc,0.869,0.84486925940509,0.8973229666302752
NonHisp Asian,FAIR-PLR,tpr_top1,0.12981,0.0865384615384615,0.1490384615384615
NonHisp Asian,FAIR-PLR,precision_top1,0.61364,0.4,0.6888888888888889
NonHisp Asian,FAIR-PLR,tpr_top5,0.44712,0.375,0.4903846153846153
NonHisp Asian,FAIR-PLR,precision_top5,0.41892,0.3466666666666667,0.4533333333333333
NonHisp Black/Afr Am,FAIR-PLR,auc,0.872,0.8433106160240652,0.8757415756716123
NonHisp Black/Afr Am,FAIR-PLR,tpr_top1,0.10497,0.0846560846560846,0.1199294532627865
NonHisp Black/Afr Am,FAIR-PLR,precision_top1,0.53271,0.4403669724770642,0.6238532110091743
NonHisp Black/Afr Am,FAIR-PLR,tpr_top5,0.40700000000000003,0.3315696649029982,0.3968253968253968
NonHisp Black/Afr Am,FAIR-PLR,precision_top5,0.41231,0.3455882352941176,0.4136029411764705
NonHisp Native Am/AK Native,FAIR-PLR,auc,0.881,0.7926525123352695,0.8800826384985321
NonHisp Native Am/AK Native,FAIR-PLR,tpr_top1,0.07692,0.0462962962962962,0.1111111111111111
NonHisp Native Am/AK Native,FAIR-PLR,precision_top1,0.7272700000000001,0.3846153846153846,0.9230769230769232
NonHisp Native Am/AK Native,FAIR-PLR,tpr_top5,0.36538,0.2962962962962963,0.4351851851851852
NonHisp Native Am/AK Native,FAIR-PLR,precision_top5,0.6440699999999999,0.4923076923076923,0.7230769230769231
