subgroup,model,metric,point,ci_low,ci_high
Large Metropolitan,FAIR-PLR,auc,0.892,0.872239234663612,0.8874110717255946
Large Metropolitan,FAIR-PLR,tpr_top1,0.11074,0.0944350758853288,0.1112984822934232
Large Metropolitan,FAIR-PLR,precision_top1,0.6568600000000001,0.5503685503685504,0.6486486486486487
Large Metropolitan,FAIR-PLR,tpr_top5,0.41901000000000005,0.3789945193929174,0.4093591905564924
Large Metropolitan,FAIR-PLR,precision_top5,0.49682000000000004,0.4417567567567567,0.4771498771498771
Nonmetropolitan,FAIR-PLR,auc,0.881,0.8720358150789184,0.8927862374548191
Nonmetropolitan,FAIR-PLR,tpr_top1,0.09409000000000001,0.0901713255184851,0.1109332732191163
Nonmetropolitan,FAIR-PLR,precision_top1,0.63253,0.591715976331361,0.7279585798816569
Nonmetropolitan,FAIR-PLR,tpr_top5,0.39337000000000005,0.3642921550946799,0.4138863841298467
Nonmetropolitan,FAIR-PLR,precision_top5,0.52638,0.4792408066429419,0.5444839857651246
Small Metropolitan,FAIR-PLR,auc,0.895,0.884376072017509,0.8980761404273085
Small Metropolitan,FAIR-PLR,tpr_top1,0.1,0.0875708061002178,0.1024074074074074
Small Metropolitan,FAIR-PLR,precision_top1,0.68085,0.6108662613981762,0.7143617021276596
Small Metropolitan,FAIR-PLR,tpr_top5,0.38616,0.3559259259259259,0.3856318082788671
Small Metropolitan,FAIR-PLR,precision_top5,0.5252,0.4965653495440729,0.5380091185410335
Large Metropolitan,Separate-PLR,auc,0.772,,
Large Metropolitan,Separate-PLR,tpr_top1,0.0642,,
Large Metropolitan,Separate-PLR,precision_top1,0.37592,,
Large Metropolitan,Separate-PLR,tpr_top5,0.30172,,
Large Metropolitan,Separate-PLR,precision_top5,0.35314,,
Nonmetropolitan,Separate-PLR,auc,0.688,,
Nonmetropolitan,Separate-PLR,tpr_top1,0.05168999999999999,,
Nonmetropolitan,Separate-PLR,precision_top1,0.3432,,
Nonmetropolitan,Separate-PLR,tpr_top5,0.22549,,
Nonmetropolitan,Separate-PLR,precision_top5,0.29835,,
Small Metropolitan,Separate-PLR,auc,0.675,,
Small Metropolitan,Separate-PLR,tpr_top1,0.06209,,
Small Metropolitan,Separate-PLR,precision_top1,0.43119,,
Small Metropolitan,Separate-PLR,tpr_top5,0.22721,,
Small Metropolitan,Separate-PLR,precision_top5,0.31501999999999997,,
