subgroup,model,metric,point,ci_low,ci_high
Large Metropolitan:No,FAIR-PLR,auc,0.869,,
Large Metropolitan:No,FAIR-PLR,tpr_top1,0.1483,,
Large Metropolitan:No,FAIR-PLR,precision_top1,0.54627,,
Large Metropolitan:No,FAIR-PLR,tpr_top5,0.4919,,
Large Metropolitan:No,FAIR-PLR,precision_top5,0.36174,,
Large Metropolitan:Yes,FAIR-PLR,auc,0.849,,
Large Metropolitan:Yes,FAIR-PLR,tpr_top1,0.03879,,
Large Metropolitan:Yes,FAIR-PLR,precision_top1,0.6388900000000001,,
Large Metropolitan:Yes,FAIR-PLR,tpr_top5,0.20152,,
Large Metropolitan:Yes,FAIR-PLR,precision_top5,0.6584,,
Nonmetropolitan:No,FAIR-PLR,auc,0.855,,
Nonmetropolitan:No,FAIR-PLR,tpr_top1,0.16981000000000002,,
Nonmetropolitan:No,FAIR-PLR,precision_top1,0.67164,,
Nonmetropolitan:No,FAIR-PLR,tpr_top5,0.46415,,
Nonmetropolitan:No,FAIR-PLR,precision_top5,0.36716,,
Nonmetropolitan:Yes,FAIR-PLR,auc,0.824,,
Nonmetropolitan:Yes,FAIR-PLR,tpr_top1,0.04437,,
Nonmetropolitan:Yes,FAIR-PLR,precision_top1,0.8125,,
Nonmetropolitan:Yes,FAIR-PLR,tpr_top5,0.16893999999999998,,
Nonmetropolitan:Yes,FAIR-PLR,precision_top5,0.60366,,
Small Metropolitan:No,FAIR-PLR,auc,0.875,,
Small Metropolitan:No,FAIR-PLR,tpr_top1,0.15816,,
Small Metropolitan:No,FAIR-PLR,precision_top1,0.60769,,
Small Metropolitan:No,FAIR-PLR,tpr_top5,0.46246000000000004,,
Small Metropolitan:No,FAIR-PLR,precision_top5,0.35429,,
Small Metropolitan:Yes,FAIR-PLR,auc,0.832,,
Small Metropolitan:Yes,FAIR-PLR,tpr_top1,0.04351,,
Small Metropolitan:Yes,FAIR-PLR,precision_top1,0.79412,,
Small Metropolitan:Yes,FAIR-PLR,tpr_top5,0.18614,,
Small Metropolitan:Yes,FAIR-PLR,precision_top5,0.6734699999999999,,
Large Metropolitan:No,Separate-PLR,auc,0.758,,
Large Metropolitan:No,Separate-PLR,tpr_top1,0.03613,,
Large Metropolitan:No,Separate-PLR,precision_top1,0.12874,,
Large Metropolitan:No,Separate-PLR,tpr_top5,0.19244,,
Large Metropolitan:No,Separate-PLR,precision_top5,0.13688,,
Large Metropolitan:Yes,Separate-PLR,auc,0.761,,
Large Metropolitan:Yes,Separate-PLR,tpr_top1,0.02347,,
Large Metropolitan:Yes,Separate-PLR,precision_top1,0.38889,,
Large Metropolitan:Yes,Separate-PLR,tpr_top5,0.10142,,
Large Metropolitan:Yes,Separate-PLR,precision_top5,0.33332999999999996,,
Nonmetropolitan:No,Separate-PLR,auc,0.755,,
Nonmetropolitan:No,Separate-PLR,tpr_top1,0.10131,,
Nonmetropolitan:No,Separate-PLR,precision_top1,0.39706,,
Nonmetropolitan:No,Separate-PLR,tpr_top5,0.39024000000000003,,
Nonmetropolitan:No,Separate-PLR,precision_top5,0.30499,,
Nonmetropolitan:Yes,Separate-PLR,auc,0.731,,
Nonmetropolitan:Yes,Separate-PLR,tpr_top1,0.018680000000000002,,
Nonmetropolitan:Yes,Separate-PLR,precision_top1,0.33332999999999996,,
Nonmetropolitan:Yes,Separate-PLR,tpr_top5,0.10696,,
Nonmetropolitan:Yes,Separate-PLR,precision_top5,0.38182000000000005,,
Small Metropolitan:No,Separate-PLR,auc,0.793,,
Small Metropolitan:No,Separate-PLR,tpr_top1,0.1109,,
Small Metropolitan:No,Separate-PLR,precision_top1,0.44787999999999994,,
Small Metropolitan:No,Separate-PLR,tpr_top5,0.36233,,
Small Metropolitan:No,Separate-PLR,precision_top5,0.29199,,
Small Metropolitan:Yes,Separate-PLR,auc,0.744,,
Small Metropolitan:Yes,Separate-PLR,tpr_top1,0.02857,,
Small Metropolitan:Yes,Separate-PLR,precision_top1,0.51471,,
Small Metropolitan:Yes,Separate-PLR,tpr_top5,0.14041,,
Small Metropolitan:Yes,Separate-PLR,precision_top5,0.50588,,
