subgroup,model,metric,point,ci_low,ci_high
Female,FAIR-PLR,auc,0.895,0.8828325157935952,0.8949242440777968
Female,FAIR-PLR,tpr_top1,0.09504,0.0865610328638497,0.0985915492957746
Female,FAIR-PLR,precision_top1,0.65714,0.6008146639511202,0.6843177189409368
Female,FAIR-PLR,tpr_top5,0.38548000000000004,0.351819248826291,0.3770613262910798
Female,FAIR-PLR,precision_top5,0.53219,0.4883910386965376,0.5234317718940936
Male,FAIR-PLR,auc,0.887,0.8730395723179494,0.8883213305603643
Male,FAIR-PLR,tpr_top1,0.11474000000000001,0.1038745777027027,0.1199324324324324
Male,FAIR-PLR,precision_top1,0.6634399999999999,0.5941425120772946,0.6859903381642513
Male,FAIR-PLR,tpr_top5,0.42211,0.3973817567567567,0.4298986486486486
Male,FAIR-PLR,precision_top5,0.48743000000000003,0.4550290135396518,0.4922630560928433
Female,Separate-PLR,auc,0.732,,
Female,Separate-PLR,tpr_top1,0.0723,,
Female,Separate-PLR,precision_top1,0.49593000000000004,,
Female,Separate-PLR,tpr_top5,0.26904,,
Female,Separate-PLR,precision_top5,0.36911,,
Male,Separate-PLR,auc,0.712,,
Male,Separate-PLR,tpr_top1,0.02416,,
Male,Separate-PLR,precision_top1,0.14078,,
Male,Separate-PLR,tpr_top5,0.12119999999999999,,
Male,Separate-PLR,precision_top5,0.14113,,
