subgroup,model,metric,point,ci_low,ci_high
Female:No,FAIR-PLR,auc,0.753,,
Female:No,FAIR-PLR,tpr_top1,0.11989000000000001,,
Female:No,FAIR-PLR,precision_top1,0.22392,,
Female:No,FAIR-PLR,tpr_top5,0.30654,,
Female:No,FAIR-PLR,precision_top5,0.11439,,
Female:Yes,FAIR-PLR,auc,0.753,,
Female:Yes,FAIR-PLR,tpr_top1,0.02638,,
Female:Yes,FAIR-PLR,precision_top1,0.72165,,
Female:Yes,FAIR-PLR,tpr_top5,0.12095,,
Female:Yes,FAIR-PLR,precision_top5,0.6591400000000001,,
Male:No,FAIR-PLR,auc,0.77,,
Male:No,FAIR-PLR,tpr_top1,0.12101,,
Male:No,FAIR-PLR,precision_top1,0.25348,,
Male:No,FAIR-PLR,tpr_top5,0.3258,,
Male:No,FAIR-PLR,precision_top5,0.13626,,
Male:Yes,FAIR-PLR,auc,0.723,,
Male:Yes,FAIR-PLR,tpr_top1,0.02078,,
Male:Yes,FAIR-PLR,precision_top1,0.6415099999999999,,
Male:Yes,FAIR-PLR,tpr_top5,0.10758,,
Male:Yes,FAIR-PLR,precision_top5,0.65428,,
Female:No,Separate-PLR,auc,0.549,,
Female:No,Separate-PLR,tpr_top1,0.01884,,
Female:No,Separate-PLR,precision_top1,0.03553,,
Female:No,Separate-PLR,tpr_top5,0.07672,,
Female:No,Separate-PLR,precision_top5,0.02889,,
Female:Yes,Separate-PLR,auc,0.607,,
Female:Yes,Separate-PLR,tpr_top1,0.01634,,
Female:Yes,Separate-PLR,precision_top1,0.44329999999999997,,
Female:Yes,Separate-PLR,tpr_top5,0.06724999999999999,,
Female:Yes,Separate-PLR,precision_top5,0.3642,,
Male:No,Separate-PLR,auc,0.6,,
Male:No,Separate-PLR,tpr_top1,0.03313,,
Male:No,Separate-PLR,precision_top1,0.07521,,
Male:No,Separate-PLR,tpr_top5,0.15092,,
Male:No,Separate-PLR,precision_top5,0.06852,,
Male:Yes,Separate-PLR,auc,0.649,,
Male:Yes,Separate-PLR,tpr_top1,0.01892,,
Male:Yes,Separate-PLR,precision_top1,0.56604,,
Male:Yes,Separate-PLR,tpr_top5,0.08071,,
Male:Yes,Separate-PLR,precision_top5,0.48119999999999996,,
